Provinsi,Perkotaan_Semester1,Perkotaan_Semester2,Perdesaan_Semester1,Perdesaan_Semester2,Total_Semester1,Total_Semester2,Tahun
ACEH,293697.0,302128.0,297479.0,306737.0,296406.0,305428.0,2015
SUMATERA UTARA,261677.0,273271.0,266143.0,284650.0,263932.0,279015.0,2015
SUMATERA BARAT,288410.0,301356.0,293768.0,313294.0,291641.0,308554.0,2015
RIAU,280361.0,288956.0,302422.0,318195.0,293851.0,306835.0,2015
JAMBI,297507.0,308379.0,247652.0,258946.0,262791.0,273957.0,2015
SUMATERA SELATAN,263734.0,272915.0,243702.0,254209.0,250850.0,260885.0,2015
BENGKULU,288387.0,313872.0,303059.0,329667.0,298505.0,324764.0,2015
LAMPUNG,260892.0,274255.0,251365.0,264450.0,253869.0,267028.0,2015
KEP. BANGKA BELITUNG,330178.0,362214.0,375657.0,406405.0,353260.0,384643.0,2015
KEP. RIAU,298998.0,318580.0,316511.0,343566.0,301870.0,322677.0,2015
DKI JAKARTA,319595.0,327678.0,0.0,0.0,319595.0,327678.0,2015
JAWA BARAT,213479.0,223843.0,231259.0,241132.0,219290.0,229494.0,2015
JAWA TENGAH,210932.0,218935.0,221840.0,232942.0,216823.0,226501.0,2015
DI YOGYAKARTA,238042.0,249320.0,236342.0,241725.0,237473.0,246776.0,2015
JAWA TIMUR,216139.0,222168.0,230565.0,240911.0,223641.0,231914.0,2015
BANTEN,235211.0,248503.0,241250.0,254860.0,237129.0,250522.0,2015
BALI,226679.0,231680.0,214350.0,222166.0,221931.0,228017.0,2015
NUSA TENGGARA BARAT,238797.0,244162.0,232281.0,238879.0,235036.0,241112.0,2015
NUSA TENGGARA TIMUR,260406.0,265296.0,232460.0,240102.0,238070.0,245160.0,2015
KALIMANTAN BARAT,250029.0,259948.0,257337.0,271176.0,255104.0,267745.0,2015
KALIMANTAN TENGAH,251976.0,256020.0,296856.0,306475.0,281506.0,289219.0,2015
KALIMANTAN SELATAN,229677.0,235422.0,255023.0,271860.0,244281.0,256417.0,2015
KALIMANTAN TIMUR,337970.0,348480.0,333612.0,348598.0,336356.0,348524.0,2015
KALIMANTAN UTARA,342729.0,355117.0,339904.0,351534.0,341484.0,353538.0,2015
SULAWESI UTARA,217995.0,224280.0,240942.0,249892.0,230475.0,238209.0,2015
SULAWESI TENGAH,249419.0,264458.0,261524.0,277186.0,258520.0,274027.0,2015
SULAWESI SELATAN,181842.0,186893.0,190563.0,201779.0,187304.0,196217.0,2015
SULAWESI TENGGARA,190438.0,200424.0,196016.0,204787.0,194409.0,203530.0,2015
GORONTALO,191995.0,201515.0,207980.0,216687.0,202433.0,211422.0,2015
SULAWESI BARAT,204476.0,212226.0,209873.0,221332.0,208787.0,219500.0,2015
MALUKU,293811.0,294604.0,315018.0,320259.0,306768.0,310278.0,2015
MALUKU UTARA,279379.0,292989.0,273858.0,289208.0,275361.0,290237.0,2015
PAPUA BARAT,328107.0,346945.0,358458.0,374902.0,346975.0,364325.0,2015
PAPUA BARAT DAYA,0.0,0.0,0.0,0.0,0.0,0.0,2015
PAPUA,289615.0,290712.0,307562.0,310937.0,302807.0,305579.0,2015
PAPUA SELATAN,0.0,0.0,0.0,0.0,0.0,0.0,2015
PAPUA TENGAH,0.0,0.0,0.0,0.0,0.0,0.0,2015
PAPUA PEGUNUNGAN,0.0,0.0,0.0,0.0,0.0,0.0,2015
INDONESIA,238278.0,247840.0,245357.0,256120.0,242241.0,251943.0,2015
ACEH,306243.0,319768.0,315697.0,324854.0,312801.0,323548.0,2016
SUMATERA UTARA,290096.0,302027.0,304942.0,313234.0,296832.0,308037.0,2016
SUMATERA BARAT,312154.0,322168.0,332415.0,341816.0,326993.0,334358.0,2016
RIAU,292026.0,301570.0,326262.0,333174.0,312352.0,321762.0,2016
JAMBI,319954.0,328157.0,270888.0,277173.0,284973.0,292122.0,2016
SUMATERA SELATAN,275736.0,283334.0,263912.0,270182.0,269320.0,275036.0,2016
BENGKULU,315710.0,335957.0,333753.0,335624.0,324851.0,335717.0,2016
LAMPUNG,279240.0,284222.0,272168.0,273647.0,274437.0,276216.0,2016
KEP. BANGKA BELITUNG,365938.0,387559.0,409399.0,427177.0,388454.0,407858.0,2016
KEP. RIAU,326014.0,334582.0,353153.0,366411.0,330442.0,339924.0,2016
DKI JAKARTA,329644.0,334938.0,0.0,0.0,329644.0,334938.0,2016
JAWA BARAT,228191.0,233953.0,246605.0,250274.0,234108.0,238945.0,2016
JAWA TENGAH,224987.0,231212.0,237901.0,241079.0,231673.0,236403.0,2016
DI YOGYAKARTA,254284.0,257677.0,246960.0,250244.0,252284.0,255304.0,2016
JAWA TIMUR,225900.0,233472.0,243840.0,246687.0,236455.0,240180.0,2016
BANTEN,256536.0,261285.0,262861.0,264755.0,261057.0,262442.0,2016
BALI,237835.0,242429.0,230108.0,233243.0,234393.0,238822.0,2016
NUSA TENGGARA BARAT,251734.0,252343.0,249490.0,249501.0,250371.0,250737.0,2016
NUSA TENGGARA TIMUR,275382.0,277266.0,252012.0,254257.0,256245.0,258985.0,2016
KALIMANTAN BARAT,265291.0,275590.0,277422.0,289535.0,275121.0,285537.0,2016
KALIMANTAN TENGAH,264149.0,271490.0,316546.0,320315.0,299485.0,303541.0,2016
KALIMANTAN SELATAN,248602.0,257170.0,286982.0,294159.0,270862.0,278536.0,2016
KALIMANTAN TIMUR,359194.0,370609.0,364879.0,375619.0,363918.0,372417.0,2016
KALIMANTAN UTARA,367378.0,379442.0,372825.0,386598.0,367944.0,382698.0,2016
SULAWESI UTARA,232497.0,234016.0,255577.0,255908.0,246007.0,246173.0,2016
SULAWESI TENGAH,275962.0,281450.0,291258.0,294686.0,289910.0,291528.0,2016
