Province,Urban_Semester1,Urban_Semester2,Rural_Semester1,Rural_Semester2,UrbanRural_Semester1,UrbanRural_Semester2,Year
ACEH,116717.0,118196.0,84638.0,87682.0,93744.0,96344.0,2015
SUMATERA UTARA,102643.0,106627.0,65752.0,67987.0,84021.0,87123.0,2015
SUMATERA BARAT,117925.0,121984.0,75985.0,77884.0,92637.0,95393.0,2015
RIAU,124441.0,128812.0,93237.0,98585.0,105361.0,110329.0,2015
JAMBI,108566.0,115476.0,69186.0,70949.0,81144.0,84470.0,2015
SUMATERA SELATAN,101603.0,105823.0,61880.0,65785.0,76055.0,80073.0,2015
BENGKULU,109102.0,111770.0,69112.0,74513.0,81523.0,86076.0,2015
LAMPUNG,109948.0,112473.0,74918.0,81638.0,84127.0,89744.0,2015
KEP. BANGKA BELITUNG,145300.0,154621.0,125875.0,136327.0,135441.0,145336.0,2015
KEP. RIAU,155149.0,166916.0,104127.0,113367.0,146782.0,158135.0,2015
DKI JAKARTA,167793.0,175361.0,,,167793.0,175361.0,2015
JAWA BARAT,94009.0,94454.0,74358.0,78096.0,87586.0,89107.0,2015
JAWA TENGAH,88079.0,89228.0,75025.0,77352.0,81028.0,82814.0,2015
DI YOGYAKARTA,109745.0,110150.0,75907.0,82662.0,98413.0,100945.0,2015
JAWA TIMUR,88779.0,92152.0,74839.0,77532.0,81530.0,84549.0,2015
BANTEN,109643.0,117170.0,77247.0,81732.0,99354.0,105914.0,2015
BALI,106320.0,109874.0,89655.0,92052.0,99903.0,103011.0,2015
NUSA TENGGARA BARAT,89328.0,91123.0,71786.0,74588.0,79202.0,81577.0,2015
NUSA TENGGARA TIMUR,104514.0,109059.0,48561.0,50261.0,59793.0,62064.0,2015
KALIMANTAN BARAT,84546.0,87567.0,61456.0,66112.0,68511.0,72668.0,2015
KALIMANTAN TENGAH,76698.0,83219.0,63814.0,68463.0,68220.0,73510.0,2015
KALIMANTAN SELATAN,124426.0,136370.0,76943.0,81112.0,97068.0,104532.0,2015
KALIMANTAN TIMUR,147917.0,156071.0,119387.0,128016.0,137353.0,145683.0,2015
KALIMANTAN UTARA,146400.0,150144.0,118587.0,126110.0,134137.0,139548.0,2015
SULAWESI UTARA,72825.0,78098.0,58235.0,61176.0,64890.0,68895.0,2015
SULAWESI TENGAH,108979.0,112038.0,70332.0,75894.0,79923.0,84865.0,2015
SULAWESI SELATAN,80321.0,87247.0,49612.0,52745.0,61087.0,65637.0,2015
SULAWESI TENGGARA,79264.0,81806.0,56620.0,59583.0,63144.0,65986.0,2015
GORONTALO,71293.0,73066.0,55866.0,58476.0,61220.0,63539.0,2015
SULAWESI BARAT,52529.0,56854.0,53237.0,58262.0,53095.0,57979.0,2015
MALUKU,106536.0,110325.0,84158.0,85243.0,92864.0,95001.0,2015
MALUKU UTARA,81553.0,85550.0,63930.0,67117.0,68726.0,72134.0,2015
PAPUA BARAT,123915.0,131755.0,76749.0,82321.0,94594.0,101023.0,2015
PAPUA BARAT DAYA,219553.0,232677.0,165835.0,189985.0,192662.0,210865.0,2015
PAPUA,151082.0,154345.0,80533.0,81510.0,99224.0,100806.0,2015
PAPUA SELATAN,178832.0,179426.0,101319.0,102833.0,128980.0,130009.0,2015
PAPUA TENGAH,312754.0,320179.0,134486.0,138735.0,177949.0,183311.0,2015
PAPUA PEGUNUNGAN,293852.0,312333.0,246198.0,255094.0,249412.0,258817.0,2015
INDONESIA,104263.0,108538.0,72524.0,76914.0,88535.0,92866.0,2015
ACEH,121727.0,125719.0,88288.0,90972.0,98155.0,101217.0,2016
SUMATERA UTARA,108312.0,111808.0,72806.0,75473.0,91324.0,93795.0,2016
SUMATERA BARAT,129369.0,132506.0,81375.0,83703.0,98148.0,103717.0,2016
RIAU,134320.0,137972.0,99515.0,100785.0,113648.0,115497.0,2016
JAMBI,118646.0,120458.0,71249.0,72563.0,86903.0,87525.0,2016
SUMATERA SELATAN,112324.0,116824.0,67658.0,69692.0,82664.0,86661.0,2016
BENGKULU,114862.0,122478.0,76110.0,91690.0,91576.0,101468.0,2016
LAMPUNG,113248.0,114155.0,82510.0,84145.0,90485.0,92376.0,2016
KEP. BANGKA BELITUNG,155835.0,166122.0,137599.0,146405.0,145776.0,156533.0,2016
KEP. RIAU,168404.0,171398.0,113836.0,115276.0,159715.0,162729.0,2016
DKI JAKARTA,180715.0,185752.0,,,180715.0,185752.0,2016
JAWA BARAT,96826.0,98192.0,78332.0,80963.0,90884.0,93174.0,2016
JAWA TENGAH,90282.0,91586.0,81287.0,81410.0,85675.0,86345.0,2016
DI YOGYAKARTA,110502.0,112832.0,84348.0,86986.0,101800.0,104865.0,2016
JAWA TIMUR,93762.0,95769.0,79939.0,82159.0,85307.0,88992.0,2016
BANTEN,120516.0,121618.0,84904.0,86952.0,106892.0,110923.0,2016
BALI,110736.0,114998.0,92552.0,94790.0,104574.0,107576.0,2016
NUSA TENGGARA BARAT,91846.0,94237.0,77166.0,79274.0,83624.0,85836.0,2016
NUSA TENGGARA TIMUR,110757.0,112395.0,54709.0,56039.0,66702.0,68018.0,2016
KALIMANTAN BARAT,87852.0,90887.0,68058.0,71406.0,72760.0,77489.0,2016
KALIMANTAN TENGAH,84105.0,85734.0,70656.0,72228.0,73999.0,76983.0,2016
KALIMANTAN SELATAN,137860.0,141992.0,83630.0,86488.0,106618.0,110736.0,2016
KALIMANTAN TIMUR,160459.0,164529.0,131096.0,134422.0,147287.0,154269.0,2016
KALIMANTAN UTARA,156536.0,160057.0,127155.0,131706.0,145670.0,147868.0,2016
SULAWESI UTARA,79831.0,79988.0,66408.0,66457.0,71471.0,72811.0,2016
SULAWESI TENGAH,115108.0,117962.0,79134.0,81972.0,85749.0,91246.0,2016
SULAWESI SELATAN,88304.0,90023.0,54579.0,56501.0,66683.0,69594.0,2016
SULAWESI TENGGARA,84546.0,85004.0,59712.0,61261.0,66669.0,68243.0,2016
GORONTALO,75076.0,75400.0,59232.0,59453.0,64764.0,65196.0,2016
SULAWESI BARAT,57721.0,59698.0,60001.0,62063.0,59632.0,61558.0,2016
MALUKU,111698.0,115413.0,87443.0,90151.0,96137.0,100275.0,2016
MALUKU UTARA,89579.0,93810.0,73252.0,77455.0,81476.0,82024.0,2016
PAPUA BARAT,132055.0,137689.0,84422.0,89046.0,102419.0,108341.0,2016
PAPUA BARAT DAYA,219553.0,232677.0,165835.0,189985.0,192662.0,210865.0,2016
PAPUA,161082.0,165237.0,84834.0,88921.0,105265.0,108778.0,2016
PAPUA SELATAN,178832.0,179426.0,101319.0,102833.0,128980.0,130009.0,2016
PAPUA TENGAH,312754.0,320179.0,134486.0,138735.0,177949.0,183311.0,2016
PAPUA PEGUNUNGAN,293852.0,312333.0,246198.0,255094.0,249412.0,258817.0,2016
INDONESIA,109346.0,112228.0,77514.0,80382.0,93917.0,97050.0,2016
ACEH,127858.0,132061.0,94463.0,96799.0,104496.0,107572.0,2017
SUMATERA UTARA,113696.0,117206.0,79842.0,84935.0,97102.0,101729.0,2017
SUMATERA BARAT,135481.0,136026.0,86342.0,86644.0,106715.0,107368.0,2017
RIAU,145074.0,147147.0,104373.0,106403.0,120571.0,122833.0,2017
JAMBI,121463.0,123627.0,72641.0,74385.0,88019.0,90001.0,2017
SUMATERA SELATAN,119191.0,120635.0,74386.0,77699.0,90775.0,93568.0,2017
BENGKULU,127360.0,129101.0,97067.0,97472.0,106779.0,107735.0,2017
LAMPUNG,117466.0,119599.0,86711.0,90615.0,95176.0,98583.0,2017
KEP. BANGKA BELITUNG,170765.0,173137.0,153836.0,158552.0,162685.0,166347.0,2017
KEP. RIAU,175688.0,182583.0,117473.0,120529.0,166969.0,173687.0,2017
DKI JAKARTA,189163.0,195054.0,,,189163.0,195054.0,2017
JAWA BARAT,100400.0,104212.0,84444.0,87921.0,95922.0,99879.0,2017
JAWA TENGAH,93866.0,95428.0,83518.0,84946.0,88618.0,90203.0,2017
DI YOGYAKARTA,114383.0,122981.0,87813.0,89909.0,106508.0,113632.0,2017
JAWA TIMUR,98086.0,99941.0,84218.0,87245.0,91287.0,93833.0,2017
BANTEN,124857.0,128495.0,89431.0,93430.0,114201.0,118333.0,2017
BALI,118321.0,118820.0,99414.0,99519.0,111504.0,112143.0,2017
NUSA TENGGARA BARAT,96193.0,96581.0,81535.0,83335.0,88078.0,89389.0,2017
NUSA TENGGARA TIMUR,116262.0,117333.0,58316.0,60883.0,70859.0,73412.0,2017
KALIMANTAN BARAT,93137.0,96157.0,73552.0,79124.0,79764.0,84620.0,2017
KALIMANTAN TENGAH,90018.0,92039.0,75766.0,76287.0,80900.0,81703.0,2017
KALIMANTAN SELATAN,144125.0,152307.0,91060.0,98337.0,114464.0,122231.0,2017
KALIMANTAN TIMUR,168156.0,173713.0,140868.0,144007.0,158943.0,163838.0,2017
KALIMANTAN UTARA,166407.0,172487.0,137160.0,143692.0,153917.0,160302.0,2017
SULAWESI UTARA,83126.0,85186.0,69659.0,70138.0,76021.0,77393.0,2017
SULAWESI TENGAH,120877.0,122686.0,85168.0,88588.0,94388.0,97377.0,2017
SULAWESI SELATAN,92452.0,94402.0,58643.0,61741.0,72009.0,74807.0,2017
SULAWESI TENGGARA,86299.0,90163.0,62382.0,67739.0,69990.0,75898.0,2017
GORONTALO,77368.0,78933.0,61514.0,62173.0,67265.0,68377.0,2017
SULAWESI BARAT,61766.0,63058.0,63946.0,67392.0,63493.0,66374.0,2017
MALUKU,118510.0,119996.0,93271.0,96192.0,103508.0,106124.0,2017
MALUKU UTARA,94931.0,95786.0,80348.0,83421.0,84356.0,86985.0,2017
PAPUA BARAT,140489.0,144831.0,91318.0,94229.0,110377.0,114383.0,2017
PAPUA BARAT DAYA,219553.0,232677.0,165835.0,189985.0,192662.0,210865.0,2017
PAPUA,169493.0,174359.0,91981.0,96715.0,112904.0,117951.0,2017
PAPUA SELATAN,178832.0,179426.0,101319.0,102833.0,128980.0,130009.0,2017
PAPUA TENGAH,312754.0,320179.0,134486.0,138735.0,177949.0,183311.0,2017
PAPUA PEGUNUNGAN,293852.0,312333.0,246198.0,255094.0,249412.0,258817.0,2017
INDONESIA,114765.0,117775.0,83218.0,86169.0,99933.0,103196.0,2017
ACEH,134561.0,136434.18,100825.0,104778.98,111335.0,114830.4,2018
SUMATERA UTARA,120138.0,120623.05,87743.0,93173.79,104865.0,107932.34,2018
SUMATERA BARAT,139235.0,140237.58,91162.0,95901.02,112319.0,116426.12,2018
RIAU,148954.0,149398.25,114001.0,119824.94,128099.0,131734.43,2018
JAMBI,129154.0,129210.95,86388.0,86819.11,100071.0,100501.02,2018
SUMATERA SELATAN,124314.0,126557.47,85005.0,87600.96,99621.0,101928.35,2018
BENGKULU,136223.0,142003.98,108824.0,117037.0,117725.0,125225.38,2018
LAMPUNG,122626.0,125522.76,92038.0,93160.05,101073.0,102954.58,2018
KEP. BANGKA BELITUNG,180347.0,186718.59,165869.0,176561.65,173633.0,182017.46,2018
KEP. RIAU,190164.0,194632.97,131906.0,137637.64,181902.0,188369.72,2018
DKI JAKARTA,198949.0,198987.31,,,198949.0,198987.31,2018
JAWA BARAT,105097.0,105920.36,90136.0,91144.48,101223.0,102311.77,2018
JAWA TENGAH,98281.0,99910.2,88642.0,89496.8,93582.0,94827.43,2018
DI YOGYAKARTA,125328.0,126522.87,95550.0,98191.36,117272.0,118822.06,2018
JAWA TIMUR,102744.0,103272.04,89057.0,89738.64,96225.0,96897.56,2018
BANTEN,132429.0,137476.93,96862.0,104616.34,122153.0,127852.39,2018
BALI,123953.0,125078.78,108143.0,109674.42,118604.0,120176.38,2018
NUSA TENGGARA BARAT,98141.0,99982.72,84374.0,91635.69,90777.0,95622.84,2018
NUSA TENGGARA TIMUR,119421.0,120212.55,63119.0,66622.03,75987.0,78999.45,2018
KALIMANTAN BARAT,100003.0,103335.38,81602.0,87098.79,87805.0,92716.93,2018
KALIMANTAN TENGAH,96241.0,98329.95,78636.0,83686.68,85401.0,89461.96,2018
KALIMANTAN SELATAN,152617.0,153198.22,100783.0,101478.29,124920.0,125666.42,2018
KALIMANTAN TIMUR,181664.0,190174.0,145280.0,154524.61,169596.0,178650.19,2018
KALIMANTAN UTARA,172564.0,175652.25,147823.0,150711.73,162252.0,165958.59,2018
SULAWESI UTARA,86738.0,88912.17,71873.0,74105.35,79322.0,81782.88,2018
SULAWESI TENGAH,124955.0,125852.35,91186.0,91243.29,100595.0,101178.63,2018
SULAWESI SELATAN,96376.0,96857.57,63581.0,65796.53,77256.0,79099.04,2018
SULAWESI TENGGARA,90744.0,91842.18,68026.0,71248.56,76729.0,79013.38,2018
GORONTALO,80305.0,81220.4,64790.0,67246.78,70788.0,73011.51,2018
SULAWESI BARAT,65681.0,67038.64,70469.0,74140.43,69333.0,72578.68,2018
MALUKU,124804.0,127820.09,96604.0,102147.06,108357.0,113012.08,2018
MALUKU UTARA,98243.0,118003.18,84786.0,86329.06,88628.0,95381.2,2018
PAPUA BARAT,146928.0,162059.55,98229.0,105223.48,117927.0,128283.36,2018
PAPUA BARAT DAYA,219553.0,232677.0,165835.0,189985.0,192662.0,210865.0,2018
PAPUA,181530.0,188327.81,103112.0,107165.87,124711.0,129967.53,2018
PAPUA SELATAN,178832.0,179426.0,101319.0,102833.0,128980.0,130009.0,2018
PAPUA TENGAH,312754.0,320179.0,134486.0,138735.0,177949.0,183311.0,2018
PAPUA PEGUNUNGAN,293852.0,312333.0,246198.0,255094.0,249412.0,258817.0,2018
INDONESIA,120342.0,121860.22,89606.0,92270.22,106414.0,108647.91,2018
ACEH,137577.0,140281.0,106943.0,110248.0,116842.0,120033.0,2019
SUMATERA UTARA,129321.0,139706.0,97785.0,103166.0,114907.0,123015.0,2019
SUMATERA BARAT,143519.0,149242.0,101722.0,108553.0,121319.0,127697.0,2019
RIAU,152604.0,163071.0,123242.0,129376.0,135097.0,142957.0,2019
JAMBI,131996.0,135322.0,91640.0,96542.0,104725.0,108973.0,2019
SUMATERA SELATAN,128381.0,129424.0,90188.0,94735.0,104445.0,107685.0,2019
BENGKULU,144674.0,146663.0,123409.0,129890.0,130449.0,135407.0,2019
LAMPUNG,127707.0,132077.0,94425.0,97828.0,104689.0,108311.0,2019
KEP. BANGKA BELITUNG,190458.0,200912.0,178334.0,184681.0,185024.0,193549.0,2019
KEP. RIAU,204035.0,208017.0,144058.0,147937.0,198052.0,201968.0,2019
DKI JAKARTA,207345.0,211437.0,,,207345.0,211437.0,2019
JAWA BARAT,108134.0,110647.0,92689.0,95137.0,104505.0,107014.0,2019
JAWA TENGAH,102252.0,103546.0,92106.0,93750.0,97305.0,98776.0,2019
DI YOGYAKARTA,128992.0,133943.0,99749.0,106183.0,121079.0,126486.0,2019
JAWA TIMUR,105971.0,108014.0,91740.0,93809.0,99346.0,101415.0,2019
BANTEN,140545.0,148725.0,107604.0,110445.0,131126.0,137728.0,2019
BALI,130026.0,131942.0,113240.0,115867.0,124790.0,126986.0,2019
NUSA TENGGARA BARAT,102473.0,103921.0,93853.0,95683.0,98009.0,99662.0,2019
NUSA TENGGARA TIMUR,124193.0,130258.0,68332.0,69974.0,81617.0,84286.0,2019
KALIMANTAN BARAT,108409.0,110999.0,92007.0,95986.0,97773.0,101232.0,2019
KALIMANTAN TENGAH,100845.0,106567.0,85750.0,88855.0,91794.0,95993.0,2019
KALIMANTAN SELATAN,157348.0,161445.0,108587.0,116394.0,131631.0,137693.0,2019
KALIMANTAN TIMUR,191520.0,205447.0,156075.0,162946.0,179991.0,191850.0,2019
KALIMANTAN UTARA,183982.0,184597.0,156288.0,169923.0,173136.0,178863.0,2019
SULAWESI UTARA,92261.0,94021.0,77187.0,84147.0,85067.0,89301.0,2019
SULAWESI TENGAH,130498.0,131660.0,93145.0,99359.0,104297.0,108863.0,2019
SULAWESI SELATAN,100572.0,103663.0,68088.0,70484.0,82176.0,84729.0,2019
SULAWESI TENGGARA,94284.0,100880.0,73510.0,77510.0,81641.0,86578.0,2019
GORONTALO,83130.0,91439.0,68899.0,72832.0,74912.0,80678.0,2019
SULAWESI BARAT,67608.0,74540.0,75486.0,77679.0,73626.0,76976.0,2019
MALUKU,139398.0,146707.0,111187.0,118574.0,123475.0,130898.0,2019
MALUKU UTARA,121938.0,125670.0,89184.0,91693.0,98575.0,101087.0,2019
PAPUA BARAT,164353.0,169463.0,107703.0,115627.0,131510.0,138104.0,2019
PAPUA BARAT DAYA,219553.0,232677.0,165835.0,189985.0,192662.0,210865.0,2019
PAPUA,194298.0,201039.0,111915.0,114082.0,135468.0,138869.0,2019
PAPUA SELATAN,178832.0,179426.0,101319.0,102833.0,128980.0,130009.0,2019
PAPUA TENGAH,312754.0,320179.0,134486.0,138735.0,177949.0,183311.0,2019
PAPUA PEGUNUNGAN,293852.0,312333.0,246198.0,255094.0,249412.0,258817.0,2019
INDONESIA,125375.0,129160.0,95111.0,98495.0,112018.0,115627.0,2019
ACEH,143425.0,144182.0,116270.0,116847.0,125093.0,125892.0,2020
SUMATERA UTARA,141299.0,141850.0,108061.0,108091.0,126114.0,126619.0,2020
SUMATERA BARAT,151198.0,152458.0,112136.0,113254.0,130483.0,132291.0,2020
RIAU,170165.0,170891.0,131654.0,132088.0,147175.0,147436.0,2020
JAMBI,139066.0,140106.0,104118.0,104441.0,115405.0,116085.0,2020
SUMATERA SELATAN,131854.0,132409.0,100198.0,100455.0,112021.0,112549.0,2020
BENGKULU,149257.0,150379.0,131570.0,132162.0,137419.0,138121.0,2020
LAMPUNG,136066.0,137055.0,100624.0,101339.0,111581.0,112551.0,2020
KEP. BANGKA BELITUNG,203236.0,204588.0,189493.0,190676.0,197084.0,198343.0,2020
KEP. RIAU,210186.0,211289.0,152786.0,153682.0,204502.0,206721.0,2020
DKI JAKARTA,214245.0,215491.0,,,214245.0,215491.0,2020
JAWA BARAT,112943.0,113234.0,96838.0,98778.0,109182.0,109994.0,2020
JAWA TENGAH,106325.0,106941.0,96035.0,96317.0,101313.0,101781.0,2020
DI YOGYAKARTA,137118.0,138208.0,107028.0,107382.0,129019.0,130166.0,2020
JAWA TIMUR,110942.0,111109.0,96247.0,96788.0,104110.0,104574.0,2020
BANTEN,153303.0,155147.0,118175.0,118937.0,143367.0,144818.0,2020
BALI,135611.0,141701.0,120391.0,122774.0,130889.0,136013.0,2020
NUSA TENGGARA BARAT,105643.0,105923.0,99356.0,100231.0,102397.0,103023.0,2020
NUSA TENGGARA TIMUR,137255.0,138027.0,71183.0,71833.0,86875.0,88053.0,2020
KALIMANTAN BARAT,121023.0,122037.0,104237.0,105435.0,110125.0,111385.0,2020
KALIMANTAN TENGAH,113479.0,116294.0,95411.0,96873.0,102680.0,104754.0,2020
KALIMANTAN SELATAN,165897.0,167122.0,119592.0,121152.0,141449.0,143292.0,2020
KALIMANTAN TIMUR,212425.0,212738.0,169485.0,169549.0,198479.0,199033.0,2020
KALIMANTAN UTARA,188266.0,190960.0,172338.0,178749.0,181985.0,186264.0,2020
SULAWESI UTARA,95077.0,96428.0,84796.0,85659.0,90165.0,91444.0,2020
SULAWESI TENGAH,135083.0,136249.0,101230.0,103319.0,111340.0,113352.0,2020
SULAWESI SELATAN,105906.0,110314.0,71719.0,75132.0,86574.0,90832.0,2020
SULAWESI TENGGARA,101982.0,109035.0,78865.0,83714.0,87933.0,92645.0,2020
GORONTALO,91971.0,94014.0,74253.0,75481.0,81718.0,83441.0,2020
SULAWESI BARAT,77925.0,78733.0,80755.0,82102.0,80088.0,81416.0,2020
MALUKU,151053.0,160453.0,123188.0,132591.0,135419.0,144007.0,2020
MALUKU UTARA,128282.0,130288.0,94698.0,97954.0,104375.0,107190.0,2020
PAPUA BARAT,176386.0,177136.0,126202.0,130993.0,147343.0,150672.0,2020
PAPUA BARAT DAYA,219553.0,232677.0,165835.0,189985.0,192662.0,210865.0,2020
PAPUA,202759.0,202858.0,114586.0,119210.0,139749.0,143093.0,2020
PAPUA SELATAN,178832.0,179426.0,101319.0,102833.0,128980.0,130009.0,2020
