,38 Provinsi,Perkotaan Semester 1 (Maret),Perkotaan Semester 2 (September),Unnamed: 4,Perdesaan Semester 2 (September),Perkotaan+Perdesaan Semester 1 (Maret),Perkotaan+Perdesaan Semester 2 (September),Tahun
0,ACEH,293697,302128,297479,306737,296406,305428,2015
1,SUMATERA UTARA,261677,273271,266143,284650,263932,279015,2015
2,SUMATERA BARAT,288410,301356,293768,313294,291641,308554,2015
3,RIAU,280361,288956,302422,318195,293851,306835,2015
4,JAMBI,297507,308379,247652,258946,262791,273957,2015
5,SUMATERA SELATAN,263734,272915,243702,254209,250850,260885,2015
6,BENGKULU,288387,313872,303059,329667,298505,324764,2015
7,LAMPUNG,260892,274255,251365,264450,253869,267028,2015
8,KEP. BANGKA BELITUNG,330178,362214,375657,406405,353260,384643,2015
9,KEP. RIAU,298998,318580,316511,343566,301870,322677,2015
10,DKI JAKARTA,319595,327678,-,-,319595,327678,2015
11,JAWA BARAT,213479,223843,231259,241132,219290,229494,2015
12,JAWA TENGAH,210932,218935,221840,232942,216823,226501,2015
13,DI YOGYAKARTA,238042,249320,236342,241725,237473,246776,2015
14,JAWA TIMUR,216139,222168,230565,240911,223641,231914,2015
15,BANTEN,235211,248503,241250,254860,237129,250522,2015
16,BALI,226679,231680,214350,222166,221931,228017,2015
17,NUSA TENGGARA BARAT,238797,244162,232281,238879,235036,241112,2015
18,NUSA TENGGARA TIMUR,260406,265296,232460,240102,238070,245160,2015
19,KALIMANTAN BARAT,250029,259948,257337,271176,255104,267745,2015
20,KALIMANTAN TENGAH,251976,256020,296856,306475,281506,289219,2015
21,KALIMANTAN SELATAN,229677,235422,255023,271860,244281,256417,2015
22,KALIMANTAN TIMUR,337970,348480,333612,348598,336356,348524,2015
23,KALIMANTAN UTARA,342729,355117,339904,351534,341484,353538,2015
24,SULAWESI UTARA,217995,224280,240942,249892,230475,238209,2015
25,SULAWESI TENGAH,249419,264458,261524,277186,258520,274027,2015
26,SULAWESI SELATAN,181842,186893,190563,201779,187304,196217,2015
27,SULAWESI TENGGARA,190438,200424,196016,204787,194409,203530,2015
28,GORONTALO,191995,201515,207980,216687,202433,211422,2015
29,SULAWESI BARAT,204476,212226,209873,221332,208787,219500,2015
30,MALUKU,293811,294604,315018,320259,306768,310278,2015
31,MALUKU UTARA,279379,292989,273858,289208,275361,290237,2015
32,PAPUA BARAT,328107,346945,358458,374902,346975,364325,2015
33,PAPUA BARAT DAYA,-,-,-,-,-,-,2015
34,PAPUA,289615,290712,307562,310937,302807,305579,2015
35,PAPUA SELATAN,-,-,-,-,-,-,2015
36,PAPUA TENGAH,-,-,-,-,-,-,2015
37,PAPUA PEGUNUNGAN,-,-,-,-,-,-,2015
