Province,Urban_Semester1,Urban_Semester2,Rural_Semester1,UrbanRural_Semester1,UrbanRural_Semester2,Year
ACEH,0.3445625,0.35869230769230764,0.272625,0.31806249999999997,0.32384615384615384,2005
ACEH,0.3445625,0.35869230769230764,0.272625,0.31806249999999997,0.32384615384615384,2007
ACEH,0.3445625,0.35869230769230764,0.272625,0.31806249999999997,0.32384615384615384,2008
ACEH,0.291,0.35869230769230764,0.25,0.288,0.32384615384615384,2009
ACEH,0.312,0.35869230769230764,0.261,0.301,0.32384615384615384,2010
ACEH,0.353,0.37,0.28,0.326,0.326,2011
ACEH,0.337,0.407,0.271,0.32,0.341,2012
ACEH,0.404,0.382,0.256,0.341,0.331,2013
ACEH,0.358,0.38,0.259,0.325,0.337,2014
ACEH,0.367,0.368,0.292,0.334,0.339,2015
ACEH,0.343,0.362,0.288,0.333,0.341,2016
ACEH,0.347,0.334,0.293,0.329,0.329,2017
ACEH,0.344,0.338,0.285,0.325,0.318,2018
ACEH,0.344,0.351,0.276,0.319,0.321,2019
ACEH,0.36,0.355,0.281,0.323,0.319,2020
ACEH,0.362,0.357,0.275,0.324,0.323,2021
ACEH,0.348,0.327,0.272,0.311,0.291,2022
ACEH,0.318,0.35869230769230764,0.265,0.296,0.32384615384615384,2023
ACEH,0.325,0.332,0.258,0.294,0.294,2024
BALI,0.3841875,0.3883846153846155,0.3094375,0.3775,0.38507692307692304,2005
BALI,0.3841875,0.3883846153846155,0.3094375,0.3775,0.38507692307692304,2007
BALI,0.3841875,0.3883846153846155,0.3094375,0.3775,0.38507692307692304,2008
BALI,0.316,0.3883846153846155,0.256,0.315,0.38507692307692304,2009
BALI,0.37,0.3883846153846155,0.313,0.366,0.38507692307692304,2010
BALI,0.409,0.384,0.337,0.407,0.387,2011
BALI,0.459,0.398,0.342,0.431,0.397,2012
BALI,0.419,0.441,0.302,0.403,0.44,2013
BALI,0.429,0.449,0.315,0.415,0.442,2014
BALI,0.382,0.406,0.332,0.377,0.399,2015
BALI,0.369,0.378,0.329,0.366,0.374,2016
BALI,0.382,0.385,0.325,0.384,0.379,2017
BALI,0.381,0.363,0.317,0.377,0.364,2018
BALI,0.37,0.365,0.313,0.366,0.37,2019
BALI,0.372,0.378,0.298,0.369,0.369,2020
BALI,0.387,0.379,0.301,0.378,0.375,2021
BALI,0.371,0.371,0.294,0.363,0.362,2022
BALI,0.367,0.3883846153846155,0.29,0.362,0.38507692307692304,2023
BALI,0.364,0.352,0.287,0.361,0.348,2024
BANTEN,0.3834375,0.3797692307692308,0.28018750000000003,0.382,0.3793076923076923,2005
BANTEN,0.3834375,0.3797692307692308,0.28018750000000003,0.382,0.3793076923076923,2007
BANTEN,0.3834375,0.3797692307692308,0.28018750000000003,0.382,0.3793076923076923,2008
BANTEN,0.357,0.3797692307692308,0.279,0.369,0.3793076923076923,2009
BANTEN,0.419,0.3797692307692308,0.289,0.419,0.3793076923076923,2010
BANTEN,0.404,0.388,0.295,0.404,0.394,2011
BANTEN,0.387,0.381,0.303,0.387,0.384,2012
BANTEN,0.402,0.376,0.287,0.399,0.38,2013
BANTEN,0.401,0.435,0.28,0.395,0.424,2014
BANTEN,0.411,0.39,0.269,0.401,0.386,2015
BANTEN,0.402,0.399,0.264,0.394,0.392,2016
BANTEN,0.381,0.38,0.267,0.382,0.379,2017
BANTEN,0.386,0.362,0.283,0.385,0.367,2018
BANTEN,0.36,0.355,0.294,0.365,0.361,2019
BANTEN,0.36,0.361,0.296,0.363,0.365,2020
BANTEN,0.369,0.365,0.28,0.365,0.363,2021
BANTEN,0.367,0.384,0.287,0.363,0.377,2022
BANTEN,0.372,0.3797692307692308,0.256,0.368,0.3793076923076923,2023
BANTEN,0.357,0.361,0.254,0.353,0.359,2024
BENGKULU,0.38806250000000003,0.38976923076923087,0.30006250000000007,0.3474375,0.3476153846153846,2005
BENGKULU,0.38806250000000003,0.38976923076923087,0.30006250000000007,0.3474375,0.3476153846153846,2007
BENGKULU,0.38806250000000003,0.38976923076923087,0.30006250000000007,0.3474375,0.3476153846153846,2008
BENGKULU,0.319,0.38976923076923087,0.276,0.302,0.3476153846153846,2009
BENGKULU,0.397,0.38976923076923087,0.319,0.365,0.3476153846153846,2010
BENGKULU,0.386,0.402,0.332,0.36,0.372,2011
BENGKULU,0.39,0.391,0.317,0.354,0.36,2012
BENGKULU,0.432,0.411,0.337,0.386,0.372,2013
BENGKULU,0.404,0.381,0.305,0.356,0.355,2014
BENGKULU,0.405,0.398,0.345,0.376,0.371,2015
BENGKULU,0.385,0.405,0.302,0.357,0.354,2016
BENGKULU,0.39,0.379,0.305,0.351,0.349,2017
BENGKULU,0.394,0.388,0.318,0.362,0.355,2018
BENGKULU,0.376,0.37,0.286,0.34,0.329,2019
BENGKULU,0.378,0.381,0.275,0.334,0.323,2020
BENGKULU,0.384,0.381,0.264,0.326,0.321,2021
BENGKULU,0.37,0.371,0.262,0.315,0.315,2022
BENGKULU,0.386,0.38976923076923087,0.283,0.333,0.3476153846153846,2023
BENGKULU,0.413,0.409,0.275,0.342,0.343,2024
DI YOGYAKARTA,0.43000000000000005,0.4354615384615385,0.34068750000000003,0.42643749999999997,0.4321538461538461,2005
DI YOGYAKARTA,0.43000000000000005,0.4354615384615385,0.34068750000000003,0.42643749999999997,0.4321538461538461,2007
DI YOGYAKARTA,0.43000000000000005,0.4354615384615385,0.34068750000000003,0.42643749999999997,0.4321538461538461,2008
DI YOGYAKARTA,0.367,0.4354615384615385,0.312,0.376,0.4321538461538461,2009
DI YOGYAKARTA,0.404,0.4354615384615385,0.331,0.407,0.4321538461538461,2010
DI YOGYAKARTA,0.39,0.418,0.387,0.401,0.423,2011
DI YOGYAKARTA,0.435,0.451,0.382,0.434,0.449,2012
DI YOGYAKARTA,0.45,0.42,0.349,0.439,0.416,2013
DI YOGYAKARTA,0.444,0.444,0.299,0.419,0.435,2014
DI YOGYAKARTA,0.443,0.428,0.334,0.433,0.42,2015
DI YOGYAKARTA,0.423,0.423,0.334,0.42,0.425,2016
DI YOGYAKARTA,0.435,0.447,0.34,0.432,0.44,2017
DI YOGYAKARTA,0.442,0.421,0.35,0.441,0.422,2018
DI YOGYAKARTA,0.424,0.43,0.328,0.423,0.428,2019
DI YOGYAKARTA,0.436,0.439,0.328,0.434,0.437,2020
DI YOGYAKARTA,0.448,0.443,0.334,0.441,0.436,2021
DI YOGYAKARTA,0.446,0.468,0.332,0.439,0.459,2022
DI YOGYAKARTA,0.453,0.4354615384615385,0.362,0.449,0.4321538461538461,2023
DI YOGYAKARTA,0.44,0.429,0.349,0.435,0.428,2024
DKI JAKARTA,0.41050000000000003,0.41084615384615386,0.31920098684210524,0.41050000000000003,0.41084615384615386,2005
DKI JAKARTA,0.41050000000000003,0.41084615384615386,0.31920098684210524,0.41050000000000003,0.41084615384615386,2007
DKI JAKARTA,0.41050000000000003,0.41084615384615386,0.31920098684210524,0.41050000000000003,0.41084615384615386,2008
DKI JAKARTA,0.356,0.41084615384615386,0.31920098684210524,0.356,0.41084615384615386,2009
DKI JAKARTA,0.361,0.41084615384615386,0.31920098684210524,0.361,0.41084615384615386,2010
DKI JAKARTA,0.438,0.402,0.31920098684210524,0.438,0.402,2011
DKI JAKARTA,0.421,0.437,0.31920098684210524,0.421,0.437,2012
DKI JAKARTA,0.433,0.404,0.31920098684210524,0.433,0.404,2013
DKI JAKARTA,0.431,0.436,0.31920098684210524,0.431,0.436,2014
