,38 Provinsi,Februari,Agustus,Tahun
0,SUMATERA UTARA,8.01,7.43,2010
1,SUMATERA BARAT,7.57,6.95,2010
2,RIAU,7.21,8.72,2010
3,JAMBI,4.45,5.39,2010
4,SUMATERA SELATAN,6.55,6.65,2010
5,BENGKULU,4.06,4.59,2010
6,LAMPUNG,5.95,5.57,2010
7,KEP. BANGKA BELITUNG,4.24,5.63,2010
8,KEP. RIAU,7.21,6.9,2010
9,DKI JAKARTA,11.32,11.05,2010
10,JAWA BARAT,10.57,10.33,2010
11,JAWA TENGAH,6.86,6.21,2010
12,DI YOGYAKARTA,6.02,5.69,2010
13,JAWA TIMUR,4.91,4.25,2010
14,BANTEN,14.13,13.68,2010
15,BALI,3.57,3.06,2010
16,NUSA TENGGARA BARAT,5.78,5.29,2010
17,NUSA TENGGARA TIMUR,3.49,3.34,2010
18,KALIMANTAN BARAT,5.5,4.62,2010
19,KALIMANTAN TENGAH,3.88,4.14,2010
20,KALIMANTAN SELATAN,5.89,5.25,2010
21,KALIMANTAN TIMUR,10.45,10.1,2010
22,KALIMANTAN UTARA,4.766363636363637,4.784000000000001,2010
23,SULAWESI UTARA,10.48,9.61,2010
24,SULAWESI TENGAH,4.89,4.61,2010
25,SULAWESI SELATAN,7.99,8.37,2010
26,SULAWESI TENGGARA,4.77,4.61,2010
27,GORONTALO,5.05,5.16,2010
28,SULAWESI BARAT,4.1,3.25,2010
29,MALUKU,9.13,9.97,2010
30,MALUKU UTARA,6.03,6.03,2010
31,PAPUA BARAT,7.77,7.68,2010
32,PAPUA BARAT DAYA,6.3149999999999995,6.48,2010
33,PAPUA,4.08,3.55,2010
34,PAPUA SELATAN,4.825,4.05,2010
35,PAPUA TENGAH,3.02,2.75,2010
36,PAPUA PEGUNUNGAN,1.43,1.32,2010
37,INDONESIA,7.41,7.14,2010
38,SUMATERA UTARA,7.47,8.18,2011
39,SUMATERA BARAT,7.51,8.02,2011
40,RIAU,7.51,6.09,2011
41,JAMBI,3.98,4.63,2011
42,SUMATERA SELATAN,6.29,6.6,2011
43,BENGKULU,3.46,3.46,2011
44,LAMPUNG,5.52,6.38,2011
45,KEP. BANGKA BELITUNG,3.31,3.86,2011
46,KEP. RIAU,7.2,5.38,2011
47,DKI JAKARTA,10.86,11.69,2011
48,JAWA BARAT,10.01,9.96,2011
49,JAWA TENGAH,6.18,7.07,2011
50,DI YOGYAKARTA,5.54,4.39,2011
51,JAWA TIMUR,4.24,5.38,2011
52,BANTEN,13.62,13.74,2011
53,BALI,3.0,2.95,2011
54,NUSA TENGGARA BARAT,5.46,5.25,2011
55,NUSA TENGGARA TIMUR,2.76,3.11,2011
56,KALIMANTAN BARAT,5.23,4.6,2011
57,KALIMANTAN TENGAH,3.83,3.54,2011
58,KALIMANTAN SELATAN,5.74,6.29,2011
59,KALIMANTAN TIMUR,10.9,11.43,2011
60,KALIMANTAN UTARA,4.766363636363637,4.784000000000001,2011
61,SULAWESI UTARA,9.74,10.1,2011
62,SULAWESI TENGAH,4.31,6.78,2011
63,SULAWESI SELATAN,6.89,8.13,2011
64,SULAWESI TENGGARA,4.45,4.69,2011
65,GORONTALO,4.95,6.74,2011
66,SULAWESI BARAT,2.77,3.35,2011
67,MALUKU,8.18,10.81,2011
68,MALUKU UTARA,5.8,5.34,2011
69,PAPUA BARAT,6.82,6.73,2011
70,PAPUA BARAT DAYA,6.3149999999999995,6.48,2011
71,PAPUA,3.84,5.02,2011
72,PAPUA SELATAN,4.825,4.05,2011
73,PAPUA TENGAH,3.02,2.75,2011
74,PAPUA PEGUNUNGAN,1.43,1.32,2011
75,INDONESIA,6.96,7.48,2011
76,SUMATERA UTARA,6.43,6.28,2012
77,SUMATERA BARAT,6.49,6.65,2012
78,RIAU,5.29,4.37,2012
79,JAMBI,3.69,3.2,2012
80,SUMATERA SELATAN,5.6,5.66,2012
81,BENGKULU,2.18,3.62,2012
82,LAMPUNG,5.21,5.2,2012
83,KEP. BANGKA BELITUNG,2.82,3.43,2012
84,KEP. RIAU,5.71,5.08,2012
85,DKI JAKARTA,10.6,9.67,2012
86,JAWA BARAT,9.84,9.08,2012
87,JAWA TENGAH,5.9,5.61,2012
88,DI YOGYAKARTA,3.98,3.9,2012
89,JAWA TIMUR,4.16,4.11,2012
90,BANTEN,10.68,9.94,2012
91,BALI,2.23,2.1,2012
92,NUSA TENGGARA BARAT,5.23,5.23,2012
93,NUSA TENGGARA TIMUR,2.53,3.04,2012
94,KALIMANTAN BARAT,3.42,3.54,2012
95,KALIMANTAN TENGAH,2.73,3.14,2012
96,KALIMANTAN SELATAN,4.34,5.19,2012
97,KALIMANTAN TIMUR,9.48,9.02,2012
98,KALIMANTAN UTARA,4.766363636363637,4.784000000000001,2012
99,SULAWESI UTARA,8.55,7.98,2012
100,SULAWESI TENGAH,3.75,3.95,2012
101,SULAWESI SELATAN,6.56,6.01,2012
102,SULAWESI TENGGARA,3.2,4.14,2012
103,GORONTALO,4.92,4.47,2012
104,SULAWESI BARAT,2.1,2.16,2012
105,MALUKU,7.59,7.71,2012
106,MALUKU UTARA,5.5,4.82,2012
107,PAPUA BARAT,6.57,5.42,2012
108,PAPUA BARAT DAYA,6.3149999999999995,6.48,2012
109,PAPUA,3.03,3.71,2012
110,PAPUA SELATAN,4.825,4.05,2012
111,PAPUA TENGAH,3.02,2.75,2012
112,PAPUA PEGUNUNGAN,1.43,1.32,2012
113,INDONESIA,6.37,6.13,2012
114,SUMATERA UTARA,6.09,6.45,2013
115,SUMATERA BARAT,6.39,7.02,2013
116,RIAU,4.19,5.48,2013
117,JAMBI,2.89,4.76,2013
118,SUMATERA SELATAN,5.41,4.84,2013
119,BENGKULU,2.1,4.61,2013
120,LAMPUNG,5.07,5.69,2013
121,KEP. BANGKA BELITUNG,3.22,3.65,2013
122,KEP. RIAU,6.05,5.63,2013
123,DKI JAKARTA,9.64,8.63,2013
124,JAWA BARAT,8.88,9.16,2013
125,JAWA TENGAH,5.53,6.01,2013
