Provinsi,2003,2004,2005
ACEH,425000.0,550000.0,620000.0
SUMATERA UTARA,505000.0,537000.0,600000.0
SUMATERA BARAT,435000.0,480000.0,540000.0
RIAU,437500.0,476900.0,551500.0
JAMBI,390000.0,425000.0,485000.0
SUMATERA SELATAN,403500.0,460000.0,503700.0
BENGKULU,330000.0,363000.0,430000.0
LAMPUNG,350000.0,377500.0,405000.0
KEP. BANGKA BELITUNG,379500.0,447900.0,560000.0
KEP. RIAU,460809.55319148937,460809.55319148937,557000.0
DKI JAKARTA,631600.0,671600.0,711843.0
JAWA BARAT,320000.0,366500.0,408260.0
JAWA TENGAH,340400.0,365000.0,390000.0
DI YOGYAKARTA,360000.0,365000.0,400000.0
JAWA TIMUR,274000.0,310000.0,340000.0
BANTEN,475000.0,515000.0,585000.0
BALI,410000.0,425000.0,447500.0
NUSA TENGGARA BARAT,375000.0,412500.0,475000.0
NUSA TENGGARA TIMUR,350000.0,400000.0,450000.0
KALIMANTAN BARAT,400000.0,420000.0,445200.0
KALIMANTAN TENGAH,425000.0,482300.0,523698.0
KALIMANTAN SELATAN,425000.0,482200.0,536300.0
KALIMANTAN TIMUR,540000.0,572700.0,600000.0
KALIMANTAN UTARA,460809.55319148937,460809.55319148937,460809.55319148937
SULAWESI UTARA,495000.0,545000.0,600000.0
SULAWESI TENGAH,410000.0,450000.0,490000.0
SULAWESI SELATAN,415000.0,455000.0,510000.0
SULAWESI TENGGARA,390000.0,470000.0,498600.0
GORONTALO,410000.0,430000.0,435000.0
SULAWESI BARAT,460809.55319148937,460809.55319148937,460809.55319148937
MALUKU,370000.0,450000.0,500000.0
MALUKU UTARA,370000.0,400000.0,440000.0
PAPUA BARAT,460809.55319148937,460809.55319148937,460809.55319148937
PAPUA BARAT DAYA,460809.55319148937,460809.55319148937,460809.55319148937
PAPUA,600000.0,650000.0,700000.0
PAPUA SELATAN,460809.55319148937,460809.55319148937,460809.55319148937
PAPUA TENGAH,460809.55319148937,460809.55319148937,460809.55319148937
PAPUA PEGUNUNGAN,460809.55319148937,460809.55319148937,460809.55319148937
INDONESIA,414700.0,458500.0,507697.0
