,Provinsi,2015,2016,2018
0,ACEH,1900000.0,2118500.0,2700000.0
1,SUMATERA UTARA,1625000.0,1811875.0,2132189.0
2,SUMATERA BARAT,1615000.0,1800725.0,2119067.0
3,RIAU,1878000.0,2095000.0,2464154.0
4,JAMBI,1710000.0,1906650.0,2243719.0
5,SUMATERA SELATAN,1974346.0,2206000.0,2595995.0
6,BENGKULU,1500000.0,1605000.0,1888741.0
7,LAMPUNG,1581000.0,1763000.0,2074673.0
8,KEP. BANGKA BELITUNG,2100000.0,2341500.0,2755444.0
9,KEP. RIAU,1954000.0,2178710.0,2563875.0
10,DKI JAKARTA,2700000.0,3100000.0,3648036.0
11,JAWA BARAT,1000000.0,2250000.0,1544361.0
12,JAWA TENGAH,910000.0,1987645.9803921569,1486065.0
13,DI YOGYAKARTA,988500.0,1987645.9803921569,1454154.0
14,JAWA TIMUR,1000000.0,1987645.9803921569,1508895.0
15,BANTEN,1600000.0,1784000.0,2099385.0
16,BALI,1621172.0,1807600.0,2127157.0
17,NUSA TENGGARA BARAT,1330000.0,1482950.0,1825000.0
18,NUSA TENGGARA TIMUR,1250000.0,1425000.0,1660000.0
19,KALIMANTAN BARAT,1560000.0,1739400.0,2046900.0
20,KALIMANTAN TENGAH,1896367.0,2057558.0,2421305.0
21,KALIMANTAN SELATAN,1870000.0,2085050.0,2454671.0
22,KALIMANTAN TIMUR,2026126.0,2161253.0,2543332.0
23,KALIMANTAN UTARA,2026126.0,2175340.0,2559903.0
24,SULAWESI UTARA,2150000.0,2400000.0,2824286.0
25,SULAWESI TENGAH,1500000.0,1670000.0,1965232.0
26,SULAWESI SELATAN,2000000.0,2250000.0,2647767.0
27,SULAWESI TENGGARA,1652000.0,1850000.0,2177052.0
28,GORONTALO,1600000.0,1875000.0,2206813.0
29,SULAWESI BARAT,1655500.0,1864000.0,2193530.0
30,MALUKU,1650000.0,1775000.0,2222220.0
31,MALUKU UTARA,1577617.0,1681266.0,2320803.0
32,PAPUA BARAT,2015000.0,2237000.0,2667000.0
33,PAPUA BARAT DAYA,1987645.9803921569,1987645.9803921569,1987645.9803921569
34,PAPUA,2193000.0,2435000.0,3000000.0
35,PAPUA SELATAN,1987645.9803921569,1987645.9803921569,1987645.9803921569
36,PAPUA TENGAH,1987645.9803921569,1987645.9803921569,1987645.9803921569
37,PAPUA PEGUNUNGAN,1987645.9803921569,1987645.9803921569,1987645.9803921569
38,INDONESIA,1790342.0,1997819.0,2268874.0
