,Provinsi,2019,2020
0,ACEH,2916810.0,3165031.0
1,SUMATERA UTARA,2303403.0,2499423.0
2,SUMATERA BARAT,2289220.0,2484041.0
3,RIAU,2662026.0,2888564.0
4,JAMBI,2423889.0,2630162.0
5,SUMATERA SELATAN,2804453.0,3043111.0
6,BENGKULU,2040407.0,2213604.0
7,LAMPUNG,2241270.0,2432002.0
8,KEP. BANGKA BELITUNG,2976706.0,3230024.0
9,KEP. RIAU,2769754.0,3005460.0
10,DKI JAKARTA,3940973.0,4276350.0
11,JAWA BARAT,1668373.0,1810351.0
12,JAWA TENGAH,1605396.0,1742015.0
13,DI YOGYAKARTA,1570923.0,1704608.0
14,JAWA TIMUR,1630059.0,1768777.0
15,BANTEN,2267990.0,2460997.0
16,BALI,2297969.0,2494000.0
17,NUSA TENGGARA BARAT,2012610.0,2183883.0
18,NUSA TENGGARA TIMUR,1795000.0,1950000.0
19,KALIMANTAN BARAT,2211500.0,2399699.0
20,KALIMANTAN TENGAH,2663435.0,2903145.0
21,KALIMANTAN SELATAN,2651782.0,2877449.0
22,KALIMANTAN TIMUR,2747561.0,2981379.0
23,KALIMANTAN UTARA,2765463.0,3000804.0
24,SULAWESI UTARA,3051076.0,3310723.0
25,SULAWESI TENGAH,2123040.0,2303711.0
26,SULAWESI SELATAN,2860382.0,3103800.0
27,SULAWESI TENGGARA,2351870.0,2552015.0
28,GORONTALO,2384020.0,2788826.0
29,SULAWESI BARAT,2381000.0,2678863.0
30,MALUKU,2400664.0,2604961.0
31,MALUKU UTARA,2508091.0,2721530.0
32,PAPUA BARAT,2934500.0,3134600.0
33,PAPUA BARAT DAYA,2564016.5142857144,2564016.5142857144
34,PAPUA,3240900.0,3516700.0
35,PAPUA SELATAN,2564016.5142857144,2564016.5142857144
36,PAPUA TENGAH,2564016.5142857144,2564016.5142857144
37,PAPUA PEGUNUNGAN,2564016.5142857144,2564016.5142857144
38,INDONESIA,2455662.0,2672371.0
