Nama Wilayah,Tahun,Garis Kemiskinan
ACEH,2004,129615.0
SUMATERA UTARA,2004,122615.0
SUMATERA BARAT,2004,144704.0
RIAU,2004,179589.0
JAMBI,2004,129805.0
SUMATERA SELATAN,2004,124353.0
BENGKULU,2004,115569.0
LAMPUNG,2004,117135.0
KEP. BANGKA BELITUNG,2004,151243.0
KEPULAUAN RIAU,2004,
DKI JAKARTA,2004,197306.0
JAWA BARAT,2004,137929.0
JAWA TENGAH,2004,126651.0
D I YOGYAKARTA,2004,134371.0
JAWA TIMUR,2004,127524.0
BANTEN,2004,133534.0
BALI,2004,147617.0
NUSA TENGGARA BARAT,2004,116145.0
NUSA TENGGARA TIMUR,2004,102695.0
KALIMANTAN BARAT,2004,118838.0
KALIMANTAN TENGAH,2004,134374.0
KALIMANTAN SELATAN,2004,121879.0
KALIMANTAN TIMUR,2004,165755.0
KALIMANTAN UTARA,2004,165755.0
SULAWESI UTARA,2004,136470.0
SULAWESI TENGAH,2004,124133.0
SULAWESI SELATAN,2004,109979.0
SULAWESI TENGGARA,2004,111018.0
GORONTALO,2004,103247.0
SULAWESI BARAT,2004,
MALUKU,2004,131654.0
MALUKU UTARA,2004,124713.0
PAPUA BARAT,2004,
PAPUA,2004,135558.0
ACEH,2005,172084.0
SUMATERA UTARA,2005,143095.0
SUMATERA BARAT,2005,140962.0
RIAU,2005,167620.0
JAMBI,2005,141157.0
SUMATERA SELATAN,2005,138444.0
BENGKULU,2005,128541.0
LAMPUNG,2005,125319.0
KEP. BANGKA BELITUNG,2005,186531.0
KEPULAUAN RIAU,2005,215803.0
DKI JAKARTA,2005,237735.0
JAWA BARAT,2005,133701.0
JAWA TENGAH,2005,130013.0
D I YOGYAKARTA,2005,148476.0
JAWA TIMUR,2005,128598.0
BANTEN,2005,150209.0
BALI,2005,152519.0
NUSA TENGGARA BARAT,2005,118891.0
NUSA TENGGARA TIMUR,2005,98263.0
KALIMANTAN BARAT,2005,124804.0
KALIMANTAN TENGAH,2005,136309.0
KALIMANTAN SELATAN,2005,128598.0
KALIMANTAN TIMUR,2005,189851.0
KALIMANTAN UTARA,2005,189851.0
SULAWESI UTARA,2005,130929.0
SULAWESI TENGAH,2005,131524.0
SULAWESI SELATAN,2005,109503.0
SULAWESI TENGGARA,2005,110978.0
GORONTALO,2005,120670.0
SULAWESI BARAT,2005,
MALUKU,2005,161114.0
MALUKU UTARA,2005,137010.0
PAPUA BARAT,2005,
PAPUA,2005,157074.0
ACEH,2006,198858.0
SUMATERA UTARA,2006,162677.0
SUMATERA BARAT,2006,154218.0
RIAU,2006,185063.0
JAMBI,2006,154911.0
SUMATERA SELATAN,2006,160607.0
BENGKULU,2006,160641.0
LAMPUNG,2006,144934.0
KEP. BANGKA BELITUNG,2006,212094.0
KEPULAUAN RIAU,2006,228610.0
DKI JAKARTA,2006,250298.0
JAWA BARAT,2006,149673.0
JAWA TENGAH,2006,142337.0
D I YOGYAKARTA,2006,170720.0
JAWA TIMUR,2006,145205.0
BANTEN,2006,160688.0
BALI,2006,161763.0
NUSA TENGGARA BARAT,2006,140712.0
NUSA TENGGARA TIMUR,2006,114982.0
KALIMANTAN BARAT,2006,134747.0
KALIMANTAN TENGAH,2006,151905.0
KALIMANTAN SELATAN,2006,147915.0
KALIMANTAN TIMUR,2006,207282.0
KALIMANTAN UTARA,2006,207282.0
SULAWESI UTARA,2006,145285.0
SULAWESI TENGAH,2006,147443.0
SULAWESI SELATAN,2006,120786.0
SULAWESI TENGGARA,2006,124264.0
GORONTALO,2006,130668.0
SULAWESI BARAT,2006,130480.0
MALUKU,2006,173201.0
MALUKU UTARA,2006,150812.0
PAPUA BARAT,2006,202340.0
PAPUA,2006,180201.0
ACEH,2007,218143.0
SUMATERA UTARA,2007,178132.0
SUMATERA BARAT,2007,180669.0
RIAU,2007,214034.0
JAMBI,2007,172349.0
SUMATERA SELATAN,2007,178209.0
BENGKULU,2007,170802.0
LAMPUNG,2007,157052.0
KEP. BANGKA BELITUNG,2007,235379.0
KEPULAUAN RIAU,2007,248241.0
DKI JAKARTA,2007,266874.0
JAWA BARAT,2007,165734.0
JAWA TENGAH,2007,154111.0
D I YOGYAKARTA,2007,184965.0
JAWA TIMUR,2007,153145.0
BANTEN,2007,169485.0
BALI,2007,165954.0
NUSA TENGGARA BARAT,2007,150026.0
NUSA TENGGARA TIMUR,2007,126389.0
KALIMANTAN BARAT,2007,142529.0
KALIMANTAN TENGAH,2007,162266.0
KALIMANTAN SELATAN,2007,161514.0
KALIMANTAN TIMUR,2007,220368.0
KALIMANTAN UTARA,2007,220368.0
SULAWESI UTARA,2007,156550.0
SULAWESI TENGAH,2007,154006.0
SULAWESI SELATAN,2007,126623.0
SULAWESI TENGGARA,2007,130625.0
GORONTALO,2007,138181.0
SULAWESI BARAT,2007,135242.0
MALUKU,2007,179552.0
MALUKU UTARA,2007,165039.0
PAPUA BARAT,2007,205998.0
PAPUA,2007,202379.0
ACEH,2008,248627.0
SUMATERA UTARA,2008,203514.0
SUMATERA BARAT,2008,205240.0
RIAU,2008,240811.0
JAMBI,2008,197089.0
SUMATERA SELATAN,2008,210893.0
BENGKULU,2008,202428.0
LAMPUNG,2008,186290.0
KEP. BANGKA BELITUNG,2008,254112.0
KEPULAUAN RIAU,2008,276400.0
DKI JAKARTA,2008,298237.0
JAWA BARAT,2008,190788.0
JAWA TENGAH,2008,181877.0
D I YOGYAKARTA,2008,202362.0
JAWA TIMUR,2008,179819.0
BANTEN,2008,191943.0
BALI,2008,197325.0
NUSA TENGGARA BARAT,2008,182024.0
NUSA TENGGARA TIMUR,2008,161639.0
KALIMANTAN BARAT,2008,168942.0
KALIMANTAN TENGAH,2008,197325.0
KALIMANTAN SELATAN,2008,190067.0
KALIMANTAN TIMUR,2008,244084.0
KALIMANTAN UTARA,2008,244084.0
SULAWESI UTARA,2008,180744.0
SULAWESI TENGAH,2008,179137.0
SULAWESI SELATAN,2008,157761.0
SULAWESI TENGGARA,2008,168947.0
GORONTALO,2008,162325.0
SULAWESI BARAT,2008,159585.0
MALUKU,2008,200665.0
MALUKU UTARA,2008,194262.0
PAPUA BARAT,2008,270990.0
PAPUA,2008,254663.0
ACEH,2009,272155.0
SUMATERA UTARA,2009,230624.0
SUMATERA BARAT,2009,230683.0
RIAU,2009,270504.0
JAMBI,2009,217161.0
SUMATERA SELATAN,2009,235560.0
BENGKULU,2009,231990.0
LAMPUNG,2009,212755.0
KEP. BANGKA BELITUNG,2009,280862.0
KEPULAUAN RIAU,2009,332602.0
DKI JAKARTA,2009,320333.0
JAWA BARAT,2009,220068.0
JAWA TENGAH,2009,201651.0
D I YOGYAKARTA,2009,220830.0
JAWA TIMUR,2009,202208.0
BANTEN,2009,222292.0
BALI,2009,232234.0
NUSA TENGGARA BARAT,2009,213007.0
NUSA TENGGARA TIMUR,2009,167492.0
KALIMANTAN BARAT,2009,189184.0
KALIMANTAN TENGAH,2009,212268.0
KALIMANTAN SELATAN,2009,212343.0
KALIMANTAN TIMUR,2009,269275.0
KALIMANTAN UTARA,2009,269275.0
SULAWESI UTARA,2009,208822.0
SULAWESI TENGAH,2009,209328.0
SULAWESI SELATAN,2009,187108.0
SULAWESI TENGGARA,2009,200787.0
GORONTALO,2009,203418.0
SULAWESI BARAT,2009,184301.0
MALUKU,2009,233062.0
MALUKU UTARA,2009,217349.0
PAPUA BARAT,2009,309933.0
PAPUA,2009,282776.0
ACEH,2010,292131.0
SUMATERA UTARA,2010,254275.0
SUMATERA BARAT,2010,254432.0
RIAU,2010,301190.0
JAMBI,2010,253335.0
SUMATERA SELATAN,2010,256542.0
BENGKULU,2010,266046.0
LAMPUNG,2010,238768.0
KEP. BANGKA BELITUNG,2010,315556.0
KEPULAUAN RIAU,2010,366140.0
DKI JAKARTA,2010,338783.0
JAWA BARAT,2010,230445.0
JAWA TENGAH,2010,217327.0
D I YOGYAKARTA,2010,234282.0
JAWA TIMUR,2010,218568.0
BANTEN,2010,233214.0
BALI,2010,246598.0
NUSA TENGGARA BARAT,2010,244130.0
NUSA TENGGARA TIMUR,2010,193298.0
KALIMANTAN BARAT,2010,211902.0
KALIMANTAN TENGAH,2010,244933.0
KALIMANTAN SELATAN,2010,242507.0
KALIMANTAN TIMUR,2010,288415.0
KALIMANTAN UTARA,2010,288415.0
SULAWESI UTARA,2010,226904.0
SULAWESI TENGAH,2010,227655.0
SULAWESI SELATAN,2010,207295.0
SULAWESI TENGGARA,2010,216650.0
GORONTALO,2010,212397.0
SULAWESI BARAT,2010,207961.0
MALUKU,2010,257630.0
MALUKU UTARA,2010,231635.0
PAPUA BARAT,2010,336999.0
PAPUA,2010,284755.0
ACEH,2011,318987.0
SUMATERA UTARA,2011,263209.0
SUMATERA BARAT,2011,276000.0
RIAU,2011,296379.0
JAMBI,2011,258888.0
SUMATERA SELATAN,2011,247397.0
BENGKULU,2011,267078.0
LAMPUNG,2011,245502.0
KEP. BANGKA BELITUNG,2011,350054.0
KEPULAUAN RIAU,2011,353379.0
DKI JAKARTA,2011,368415.0
JAWA BARAT,2011,226097.0
JAWA TENGAH,2011,217440.0
D I YOGYAKARTA,2011,257909.0
JAWA TIMUR,2011,227602.0
BANTEN,2011,236520.0
BALI,2011,240543.0
NUSA TENGGARA BARAT,2011,233033.0
NUSA TENGGARA TIMUR,2011,203607.0
KALIMANTAN BARAT,2011,219636.0
KALIMANTAN TENGAH,2011,256245.0
KALIMANTAN SELATAN,2011,249487.0
KALIMANTAN TIMUR,2011,336019.0
KALIMANTAN UTARA,2011,336019.0
SULAWESI UTARA,2011,221278.0
SULAWESI TENGAH,2011,247584.0
SULAWESI SELATAN,2011,185736.0
SULAWESI TENGGARA,2011,199176.0
GORONTALO,2011,195685.0
SULAWESI BARAT,2011,192971.0
MALUKU,2011,268701.0
MALUKU UTARA,2011,236590.0
PAPUA BARAT,2011,334449.0
PAPUA,2011,280302.0
ACEH,2012,321893.0
SUMATERA UTARA,2012,271738.0
SUMATERA BARAT,2012,292052.0
RIAU,2012,310603.0
JAMBI,2012,273267.0
SUMATERA SELATAN,2012,259668.0
BENGKULU,2012,283252.0
LAMPUNG,2012,263088.0
KEP. BANGKA BELITUNG,2012,382412.0
KEPULAUAN RIAU,2012,363450.0
DKI JAKARTA,2012,392571.0
JAWA BARAT,2012,242104.0
JAWA TENGAH,2012,233769.0
D I YOGYAKARTA,2012,270110.0
JAWA TIMUR,2012,243783.0
BANTEN,2012,251161.0
BALI,2012,254221.0
NUSA TENGGARA BARAT,2012,248758.0
NUSA TENGGARA TIMUR,2012,222507.0
KALIMANTAN BARAT,2012,239162.0
KALIMANTAN TENGAH,2012,277407.0
KALIMANTAN SELATAN,2012,269714.0
KALIMANTAN TIMUR,2012,363887.0
KALIMANTAN UTARA,2012,363887.0
SULAWESI UTARA,2012,223883.0
SULAWESI TENGAH,2012,266718.0
SULAWESI SELATAN,2012,195627.0
SULAWESI TENGGARA,2012,203333.0
GORONTALO,2012,212476.0
SULAWESI BARAT,2012,207072.0
MALUKU,2012,295904.0
MALUKU UTARA,2012,250184.0
PAPUA BARAT,2012,354626.0
PAPUA,2012,297502.0
ACEH,2013,348172.0
SUMATERA UTARA,2013,311063.0
SUMATERA BARAT,2013,336606.0
RIAU,2013,350129.0
JAMBI,2013,307885.0
SUMATERA SELATAN,2013,291058.0
BENGKULU,2013,327358.0
LAMPUNG,2013,295395.0
KEP. BANGKA BELITUNG,2013,427081.0
KEPULAUAN RIAU,2013,398903.0
DKI JAKARTA,2013,434322.0
JAWA BARAT,2013,276825.0
JAWA TENGAH,2013,261881.0
D I YOGYAKARTA,2013,303843.0
JAWA TIMUR,2013,273758.0
BANTEN,2013,288733.0
BALI,2013,284009.0
NUSA TENGGARA BARAT,2013,278514.0
NUSA TENGGARA TIMUR,2013,251080.0
KALIMANTAN BARAT,2013,270306.0
KALIMANTAN TENGAH,2013,307698.0
KALIMANTAN SELATAN,2013,300329.0
KALIMANTAN TIMUR,2013,417902.0
KALIMANTAN UTARA,2013,417902.0
SULAWESI UTARA,2013,250249.0
SULAWESI TENGAH,2013,301000.0
SULAWESI SELATAN,2013,217547.0
SULAWESI TENGGARA,2013,226990.0
GORONTALO,2013,233942.0
SULAWESI BARAT,2013,228944.0
MALUKU,2013,346599.0
MALUKU UTARA,2013,291352.0
PAPUA BARAT,2013,397003.0
PAPUA,2013,339096.0
ACEH,2014,377049.0
SUMATERA UTARA,2014,330663.0
SUMATERA BARAT,2014,365827.0
RIAU,2014,379223.0
JAMBI,2014,329181.0
SUMATERA SELATAN,2014,307488.0
BENGKULU,2014,356554.0
LAMPUNG,2014,318822.0
KEP. BANGKA BELITUNG,2014,469814.0
KEPULAUAN RIAU,2014,425967.0
DKI JAKARTA,2014,459560.0
JAWA BARAT,2014,291474.0
JAWA TENGAH,2014,281570.0
