38 Provinsi,,,,,,,,,
,Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2020,,,2020,,,2020,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,398026,399504,-,396615,397816,-,397032,398316,-
SUMATERA UTARA,376919,378679,-,376656,378550,-,376790,378617,-
SUMATERA BARAT,411369,413073,-,415694,416419,-,413832,414949,-
RIAU,400297,401965,-,394776,396647,-,396883,398654,-
JAMBI,409968,412391,-,349384,350313,-,368137,369835,-
SUMATERA SELATAN,337697,338390,-,321453,323914,-,327021,328710,-
BENGKULU,423966,426542,-,374440,377325,-,389613,392261,-
LAMPUNG,364654,367275,-,333219,335769,-,342151,344944,-
KEP. BANGKA BELITUNG,507398,511872,-,543077,546174,-,524371,528771,-
KEP. RIAU,406556,408172,-,442464,444217,-,410225,410811,-
DKI JAKARTA,466156,467847,-,-,-,-,466156,467847,-
JAWA BARAT,299959,303465,-,307253,312563,-,301806,305687,-
JAWA TENGAH,295446,297510,-,292760,295899,-,294095,296697,-
DI YOGYAKARTA,350055,350253,-,296144,296654,-,334461,335262,-
JAWA TIMUR,317234,317483,-,306255,309418,-,311891,313653,-
BANTEN,374474,376950,-,342546,355550,-,364725,370293,-
BALI,307459,309933,-,280900,284541,-,298945,302154,-
NUSA TENGGARA BARAT,312088,314001,-,293862,296269,-,302545,304982,-
NUSA TENGGARA TIMUR,357134,358164,-,305029,305413,-,316130,316659,-
KALIMANTAN BARAT,379108,382408,-,351955,353089,-,361075,362874,-
KALIMANTAN TENGAH,358205,362579,-,397192,402086,-,382954,387865,-
KALIMANTAN SELATAN,337851,341730,-,370662,374563,-,355813,360394,-
KALIMANTAN TIMUR,453545,462661,-,483135,486520,-,463823,470589,-
KALIMANTAN UTARA,526226,532518,-,460249,471012,-,499050,508699,-
SULAWESI UTARA,300906,306074,-,301162,307159,-,301032,306583,-
SULAWESI TENGAH,354798,356510,-,366541,375369,-,363287,370310,-
SULAWESI SELATAN,257455,265149,-,268024,275659,-,263690,271199,-
SULAWESI TENGGARA,264082,274804,-,271154,276410,-,268511,275884,-
GORONTALO,279230,281726,-,292558,298431,-,287272,291402,-
SULAWESI BARAT,277068,278234,-,268940,270167,-,270655,271458,-
MALUKU,407169,423608,-,428902,433906,-,419778,429678,-
MALUKU UTARA,360482,364415,-,357381,361627,-,358264,362406,-
PAPUA BARAT,453352,458403,-,470084,471297,-,463545,465715,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,408356,419488,-,428109,443201,-,423243,437370,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,339519,342356,-,331492,335042,-,335793,339003,-
