Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
,2022,2023,2024
ACEH,579227,627534,661227
Simeulue,493303,538693,576505
Aceh Singkil,518951,568691,609322
Aceh Selatan,446224,494565,528243
Aceh Tenggara,430825,471301,496074
Aceh Timur,491550,530934,557943
Aceh Tengah,533810,584863,626090
Aceh Barat,558638,616091,644009
Aceh Besar,519320,564431,586860
Pidie,535713,579450,607117
Bireuen,451163,486667,494866
Aceh Utara,420615,454361,473719
Aceh Barat Daya,430297,474127,516947
Gayo Lues,470221,514836,557201
Aceh Tamiang,508599,555387,583294
Nagan Raya,544300,594374,635820
Aceh Jaya,468854,515244,536092
Bener Meriah,512111,551868,591421
Pidie Jaya,523239,572452,599755
Kota Banda Aceh,737016,814530,862944
Kota Sabang,660573,715446,725956
Kota Langsa,469348,512319,546363
Kota Lhokseumawe,460583,498431,522671
Kota Subulussalam,444818,487777,504372
SUMATERA UTARA,561004,602999,642423
Nias,454570,485533,520024
Mandailing Natal,450345,487436,519553
Tapanuli Selatan,445612,480834,512480
Tapanuli Tengah,450940,489760,527227
Tapanuli Utara,466316,499881,531593
Toba Samosir,465681,496950,531581
Labuhan Batu,489503,524240,556900
Asahan,397944,427293,454298
Simalungun,441744,467926,496959
Dairi,436713,463360,502924
Karo,563660,606244,656812
Deli Serdang,448489,479509,508139
Langkat,453383,483543,507996
Nias Selatan,350452,379929,406429
Humbang Hasundutan,419180,451625,487256
Pakpak Bharat,357844,384812,412759
Samosir,396267,425875,455397
Serdang Bedagai,478072,503955,518209
Batu Bara,508524,556529,591201
Padang Lawas Utara,430944,467457,502403
Padang Lawas,418610,449217,483395
Labuhan Batu Selatan,448994,486275,533535
Labuhan Batu Utara,527922,573783,607292
Nias Utara,474533,501443,535575
Nias Barat,487469,520543,556919
Kota Sibolga,516367,568188,612818
Kota Tanjung Balai,515456,554065,592573
Kota Pematang Siantar,631886,670183,709992
Kota Tebing Tinggi,578512,623531,665016
Kota Medan,607166,651901,695295
Kota Binjai,499451,538638,577220
Kota Padangsidimpuan,480196,523244,556024
Kota Gunungsitoli,426349,459787,493644
SUMATERA BARAT,610941,667925,708416
