38 Provinsi,,,,,,,,,
,Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2022,,,2022,,,2022,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,157867,164956,-,131658,140763,-,140570,149038,-
SUMATERA UTARA,151633,157137,-,118883,125685,-,137244,143402,-
SUMATERA BARAT,169253,178321,-,127489,138150,-,148030,158370,-
RIAU,191327,200815,-,146319,154999,-,164377,173340,-
JAMBI,157559,166816,-,122845,130842,-,134333,142658,-
SUMATERA SELATAN,141579,148101,-,114139,124901,-,124469,133642,-
BENGKULU,167708,178155,-,149208,162687,-,155362,167767,-
LAMPUNG,148109,156844,-,120198,130606,-,129270,139260,-
KEP. BANGKA BELITUNG,223107,231249,-,220289,231037,-,221901,231158,-
KEP. RIAU,233682,247232,-,162820,172647,-,225707,239224,-
DKI JAKARTA,230716,238551,-,-,-,-,230716,238551,-
JAWA BARAT,121232,127531,-,107690,116273,-,118356,125178,-
JAWA TENGAH,113940,119009,-,104259,111294,-,109322,115356,-
DI YOGYAKARTA,151531,161094,-,117032,128078,-,142770,152979,-
JAWA TIMUR,118612,125139,-,104924,111568,-,112510,119136,-
BANTEN,166426,172532,-,133579,144108,-,158185,165380,-
BALI,152669,163784,-,131527,141203,-,146604,157398,-
NUSA TENGGARA BARAT,121061,128090,-,112906,116558,-,117038,122419,-
NUSA TENGGARA TIMUR,156513,170478,-,84266,89496,-,102599,110343,-
KALIMANTAN BARAT,140781,146772,-,112823,121058,-,123099,130528,-
KALIMANTAN TENGAH,132451,140978,-,114225,124756,-,121903,131597,-
KALIMANTAN SELATAN,180716,189362,-,133660,141833,-,156765,165254,-
KALIMANTAN TIMUR,224534,230245,-,191875,201939,-,214334,221451,-
KALIMANTAN UTARA,213278,217984,-,194647,202380,-,206622,212374,-
SULAWESI UTARA,97296,103035,-,92570,97931,-,95112,100742,-
SULAWESI TENGAH,149250,153690,-,115486,124605,-,126217,133793,-
SULAWESI SELATAN,120903,127538,-,83054,88302,-,100322,106355,-
SULAWESI TENGGARA,118643,126476,-,89413,94558,-,100011,106200,-
GORONTALO,106015,115590,-,85647,89278,-,94588,101167,-
SULAWESI BARAT,87516,94951,-,91833,98484,-,90966,97774,-
MALUKU,178780,187267,-,151424,166486,-,162991,175765,-
MALUKU UTARA,136264,143872,-,106751,111933,-,115255,121138,-
PAPUA BARAT,190854,206365,-,141193,156596,-,161688,178241,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,220512,230322,-,131446,138890,-,157295,165460,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,143536,150380,-,114113,122077,-,131014,138422,-
