38 Province,,,,,,,,,
,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,
,Urban,,,Rural,,,Urban+Rural,,
,2007,,,2007,,,2007,,
,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually
ACEH,-,-,0.289,-,-,0.257,-,-,0.285
SUMATERA UTARA,-,-,0.329,-,-,0.269,-,-,0.322
SUMATERA BARAT,-,-,0.309,-,-,0.279,-,-,0.32
RIAU,-,-,0.335,-,-,0.301,-,-,0.339
JAMBI,-,-,0.333,-,-,0.28,-,-,0.321
SUMATERA SELATAN,-,-,0.337,-,-,0.299,-,-,0.329
BENGKULU,-,-,0.367,-,-,0.288,-,-,0.35
LAMPUNG,-,-,0.436,-,-,0.303,-,-,0.402
KEP. BANGKA BELITUNG,-,-,0.256,-,-,0.297,-,-,0.278
KEP. RIAU,-,-,0.321,-,-,0.256,-,-,0.32
DKI JAKARTA,-,-,0.367,-,-,-,-,-,0.367
JAWA BARAT,-,-,0.355,-,-,0.279,-,-,0.357
JAWA TENGAH,-,-,0.349,-,-,0.285,-,-,0.338
DI YOGYAKARTA,-,-,0.367,-,-,0.316,-,-,0.378
JAWA TIMUR,-,-,0.348,-,-,0.289,-,-,0.348
BANTEN,-,-,0.356,-,-,0.246,-,-,0.379
BALI,-,-,0.345,-,-,0.295,-,-,0.348
NUSA TENGGARA BARAT,-,-,0.355,-,-,0.296,-,-,0.339
NUSA TENGGARA TIMUR,-,-,0.363,-,-,0.283,-,-,0.363
KALIMANTAN BARAT,-,-,0.339,-,-,0.287,-,-,0.321
KALIMANTAN TENGAH,-,-,0.322,-,-,0.274,-,-,0.312
KALIMANTAN SELATAN,-,-,0.356,-,-,0.289,-,-,0.355
KALIMANTAN TIMUR,-,-,0.346,-,-,0.295,-,-,0.351
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,-,-,0.352,-,-,0.294,-,-,0.338
SULAWESI TENGAH,-,-,0.292,-,-,0.317,-,-,0.33
SULAWESI SELATAN,-,-,0.358,-,-,0.31,-,-,0.38
SULAWESI TENGGARA,-,-,0.342,-,-,0.323,-,-,0.363
GORONTALO,-,-,0.437,-,-,0.308,-,-,0.398
SULAWESI BARAT,-,-,0.289,-,-,0.34,-,-,0.325
MALUKU,-,-,0.325,-,-,0.273,-,-,0.34
MALUKU UTARA,-,-,0.317,-,-,0.311,-,-,0.346
PAPUA BARAT,-,-,0.287,-,-,0.312,-,-,0.346
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,-,-,0.317,-,-,0.36,-,-,0.422
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,-,-,0.374,-,-,0.302,-,-,0.376
