38 Province,,,,,,,,,
,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,
,Urban,,,Rural,,,Urban+Rural,,
,2017,,,2017,,,2017,,
,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually
ACEH,0.347,0.334,-,0.293,0.299,-,0.329,0.329,-
SUMATERA UTARA,0.342,0.365,-,0.256,0.264,-,0.315,0.335,-
SUMATERA BARAT,0.336,0.309,-,0.276,0.288,-,0.318,0.312,-
RIAU,0.353,0.343,-,0.289,0.299,-,0.325,0.325,-
JAMBI,0.384,0.379,-,0.284,0.295,-,0.335,0.334,-
SUMATERA SELATAN,0.384,0.387,-,0.317,0.328,-,0.361,0.365,-
BENGKULU,0.39,0.379,-,0.305,0.317,-,0.351,0.349,-
LAMPUNG,0.364,0.36,-,0.297,0.301,-,0.334,0.333,-
KEP. BANGKA BELITUNG,0.303,0.288,-,0.219,0.236,-,0.282,0.276,-
KEP. RIAU,0.327,0.355,-,0.279,0.286,-,0.334,0.359,-
DKI JAKARTA,0.413,0.409,-,-,-,-,0.413,0.409,-
JAWA BARAT,0.412,0.399,-,0.324,0.326,-,0.403,0.393,-
JAWA TENGAH,0.386,0.383,-,0.327,0.323,-,0.365,0.365,-
DI YOGYAKARTA,0.435,0.447,-,0.34,0.317,-,0.432,0.44,-
JAWA TIMUR,0.418,0.442,-,0.326,0.317,-,0.396,0.415,-
BANTEN,0.381,0.38,-,0.267,0.27,-,0.382,0.379,-
BALI,0.382,0.385,-,0.325,0.302,-,0.384,0.379,-
NUSA TENGGARA BARAT,0.413,0.413,-,0.314,0.323,-,0.371,0.378,-
NUSA TENGGARA TIMUR,0.362,0.365,-,0.311,0.309,-,0.359,0.359,-
KALIMANTAN BARAT,0.356,0.36,-,0.274,0.285,-,0.327,0.329,-
KALIMANTAN TENGAH,0.37,0.343,-,0.31,0.303,-,0.343,0.327,-
KALIMANTAN SELATAN,0.365,0.358,-,0.292,0.285,-,0.347,0.347,-
KALIMANTAN TIMUR,0.323,0.34,-,0.298,0.28,-,0.33,0.333,-
KALIMANTAN UTARA,0.298,0.294,-,0.268,0.296,-,0.308,0.313,-
SULAWESI UTARA,0.405,0.389,-,0.355,0.346,-,0.396,0.394,-
SULAWESI TENGAH,0.379,0.367,-,0.309,0.313,-,0.355,0.345,-
SULAWESI SELATAN,0.41,0.444,-,0.348,0.332,-,0.407,0.429,-
SULAWESI TENGGARA,0.403,0.408,-,0.358,0.373,-,0.394,0.404,-
GORONTALO,0.417,0.398,-,0.403,0.379,-,0.43,0.405,-
SULAWESI BARAT,0.424,0.392,-,0.323,0.299,-,0.354,0.339,-
MALUKU,0.333,0.307,-,0.312,0.29,-,0.343,0.321,-
MALUKU UTARA,0.322,0.338,-,0.265,0.277,-,0.317,0.33,-
PAPUA BARAT,0.349,0.349,-,0.392,0.386,-,0.39,0.387,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.322,0.302,-,0.395,0.407,-,0.397,0.398,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,0.407,0.404,-,0.32,0.32,-,0.393,0.391,-
