Tahun,Indeks Kedalaman Kemiskinan - Perkotaan,Indeks Kedalaman Kemiskinan - Perdesaan,Indeks Kedalaman Kemiskinan - Perkotaan+Perdesaan,Indeks Keparahan Kemiskinan - Perkotaan,Indeks Keparahan Kemiskinan - Perdesaan,Indeks Keparahan Kemiskinan - Perkotaan+Perdesaan
Maret/March,1.16,2.04,1.53,0.28,0.51,0.38
September/September,...,...,...,...,...,...
,,,,,,
Catatan,,,,,,
September 23 tidak dilakukan penghitungan kemiskinan,,,,,,
 ,,,,,,
 ,,,,,,
  …¹ Data,,,,,,
  mash tergabung dengan Provinsi Papua Barat,,,,,,
 ,,,,,,
 ,,,,,,
  …² Data mash tergabung dengan,,,,,,
  Provinsi Papua ,,,,,,
 ,,,,,,
