38 Provinsi,,,,,,,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2008,,,2008,,,2008,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,-,-,1.07,-,-,1.67,-,-,1.5
SUMATERA UTARA,-,-,0.5,-,-,0.64,-,-,0.58
SUMATERA BARAT,-,-,0.32,-,-,0.43,-,-,0.39
RIAU,-,-,0.36,-,-,0.44,-,-,0.4
JAMBI,-,-,0.85,-,-,0.2,-,-,0.41
SUMATERA SELATAN,-,-,1.2,-,-,0.64,-,-,0.85
BENGKULU,-,-,1.4,-,-,0.89,-,-,1.07
LAMPUNG,-,-,1.13,-,-,0.99,-,-,1.03
KEP. BANGKA BELITUNG,-,-,0.3,-,-,0.33,-,-,0.31
KEP. RIAU,-,-,0.59,-,-,0.87,-,-,0.72
DKI JAKARTA,-,-,0.19,-,-,-,-,-,0.19
JAWA BARAT,-,-,0.46,-,-,0.74,-,-,0.58
JAWA TENGAH,-,-,0.82,-,-,0.98,-,-,0.9
DI YOGYAKARTA,-,-,0.71,-,-,1.29,-,-,0.92
JAWA TIMUR,-,-,0.61,-,-,1.23,-,-,0.93
BANTEN,-,-,0.31,-,-,0.23,-,-,0.28
BALI,-,-,0.15,-,-,0.22,-,-,0.18
NUSA TENGGARA BARAT,-,-,1.76,-,-,0.93,-,-,1.28
NUSA TENGGARA TIMUR,-,-,0.89,-,-,1.45,-,-,1.35
KALIMANTAN BARAT,-,-,0.54,-,-,0.37,-,-,0.42
KALIMANTAN TENGAH,-,-,0.19,-,-,0.46,-,-,0.37
KALIMANTAN SELATAN,-,-,0.16,-,-,0.34,-,-,0.27
KALIMANTAN TIMUR,-,-,0.24,-,-,0.65,-,-,0.39
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,-,-,0.3,-,-,0.45,-,-,0.38
SULAWESI TENGAH,-,-,0.6,-,-,1.63,-,-,1.41
SULAWESI SELATAN,-,-,0.35,-,-,0.82,-,-,0.67
SULAWESI TENGGARA,-,-,0.17,-,-,1.35,-,-,1.08
GORONTALO,-,-,0.33,-,-,1.7,-,-,1.27
SULAWESI BARAT,-,-,0.7,-,-,0.63,-,-,0.66
MALUKU,-,-,0.4,-,-,2.23,-,-,1.75
MALUKU UTARA,-,-,0.06,-,-,0.53,-,-,0.39
PAPUA BARAT,-,-,0.24,-,-,4.46,-,-,3.5
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,-,-,0.54,-,-,5.04,-,-,4.01
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,-,-,0.56,-,-,0.95,-,-,0.76
