38 Provinsi,,,,,,,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2010,,,2010,,,2010,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,-,-,0.79,-,-,1.45,-,-,1.26
SUMATERA UTARA,-,-,0.54,-,-,0.59,-,-,0.57
SUMATERA BARAT,-,-,0.27,-,-,0.39,-,-,0.35
RIAU,-,-,0.17,-,-,0.57,-,-,0.37
JAMBI,-,-,0.42,-,-,0.14,-,-,0.23
SUMATERA SELATAN,-,-,0.71,-,-,0.71,-,-,0.71
BENGKULU,-,-,0.93,-,-,0.56,-,-,0.69
LAMPUNG,-,-,0.66,-,-,0.75,-,-,0.72
KEP. BANGKA BELITUNG,-,-,0.11,-,-,0.33,-,-,0.23
KEP. RIAU,-,-,0.33,-,-,0.15,-,-,0.25
DKI JAKARTA,-,-,0.11,-,-,-,-,-,0.11
JAWA BARAT,-,-,0.44,-,-,0.64,-,-,0.52
JAWA TENGAH,-,-,0.5,-,-,0.69,-,-,0.6
DI YOGYAKARTA,-,-,0.56,-,-,1.02,-,-,0.73
JAWA TIMUR,-,-,0.37,-,-,0.79,-,-,0.59
BANTEN,-,-,0.22,-,-,0.28,-,-,0.24
BALI,-,-,0.08,-,-,0.22,-,-,0.14
NUSA TENGGARA BARAT,-,-,1.63,-,-,0.56,-,-,1.01
NUSA TENGGARA TIMUR,-,-,1,-,-,1.53,-,-,1.43
KALIMANTAN BARAT,-,-,0.18,-,-,0.27,-,-,0.24
KALIMANTAN TENGAH,-,-,0.24,-,-,0.24,-,-,0.24
KALIMANTAN SELATAN,-,-,0.12,-,-,0.22,-,-,0.18
KALIMANTAN TIMUR,-,-,0.12,-,-,0.7,-,-,0.34
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,-,-,0.3,-,-,0.19,-,-,0.24
SULAWESI TENGAH,-,-,0.45,-,-,0.89,-,-,0.8
SULAWESI SELATAN,-,-,0.1,-,-,0.68,-,-,0.49
SULAWESI TENGGARA,-,-,0.38,-,-,1.04,-,-,0.89
GORONTALO,-,-,0.17,-,-,1.37,-,-,1
SULAWESI BARAT,-,-,0.12,-,-,0.46,-,-,0.35
MALUKU,-,-,0.27,-,-,1.9,-,-,1.47
MALUKU UTARA,-,-,-,-,-,0.46,-,-,0.33
PAPUA BARAT,-,-,0.36,-,-,5.47,-,-,4.3
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,-,-,0.17,-,-,4.32,-,-,3.37
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,-,-,0.4,-,-,0.75,-,-,0.58
