38 Provinsi,,,,,,,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2023,,,2023,,,2023,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,0.55,-,-,0.9,-,-,0.78,-,-
SUMATERA UTARA,0.31,-,-,0.34,-,-,0.32,-,-
SUMATERA BARAT,0.15,-,-,0.2,-,-,0.18,-,-
RIAU,0.25,-,-,0.23,-,-,0.24,-,-
JAMBI,0.37,-,-,0.25,-,-,0.29,-,-
SUMATERA SELATAN,0.43,-,-,0.37,-,-,0.39,-,-
BENGKULU,0.6,-,-,0.48,-,-,0.52,-,-
LAMPUNG,0.27,-,-,0.4,-,-,0.36,-,-
KEP. BANGKA BELITUNG,0.11,-,-,0.16,-,-,0.13,-,-
KEP. RIAU,0.15,-,-,0.39,-,-,0.18,-,-
DKI JAKARTA,0.17,-,-,-,-,-,0.17,-,-
JAWA BARAT,0.26,-,-,0.34,-,-,0.27,-,-
JAWA TENGAH,0.41,-,-,0.42,-,-,0.41,-,-
DI YOGYAKARTA,0.37,-,-,0.41,-,-,0.38,-,-
JAWA TIMUR,0.27,-,-,0.49,-,-,0.37,-,-
BANTEN,0.39,-,-,0.26,-,-,0.36,-,-
BALI,0.09,-,-,0.14,-,-,0.1,-,-
NUSA TENGGARA BARAT,0.53,-,-,0.66,-,-,0.59,-,-
NUSA TENGGARA TIMUR,0.27,-,-,0.98,-,-,0.8,-,-
KALIMANTAN BARAT,0.12,-,-,0.32,-,-,0.24,-,-
KALIMANTAN TENGAH,0.14,-,-,0.14,-,-,0.14,-,-
KALIMANTAN SELATAN,0.07,-,-,0.24,-,-,0.16,-,-
KALIMANTAN TIMUR,0.11,-,-,0.2,-,-,0.14,-,-
KALIMANTAN UTARA,0.11,-,-,0.1,-,-,0.11,-,-
SULAWESI UTARA,0.16,-,-,0.38,-,-,0.26,-,-
SULAWESI TENGAH,0.44,-,-,0.59,-,-,0.54,-,-
SULAWESI SELATAN,0.16,-,-,0.62,-,-,0.41,-,-
SULAWESI TENGGARA,0.23,-,-,0.64,-,-,0.48,-,-
GORONTALO,0.13,-,-,1.23,-,-,0.74,-,-
SULAWESI BARAT,0.38,-,-,0.42,-,-,0.42,-,-
MALUKU,0.2,-,-,1.36,-,-,0.86,-,-
MALUKU UTARA,0.24,-,-,0.22,-,-,0.23,-,-
PAPUA BARAT,0.62,-,-,2.48,-,-,1.71,-,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.21,-,-,2.95,-,-,2.15,-,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,0.28,-,-,0.51,-,-,0.38,-,-
