Provinsi,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Aceh,5096.2,2.01,1.97,88,99.8
Sumatera Utara,14102.9,1.33,5.45,193,99.6
Sumatera Barat,5259.5,1.31,2.03,125,99.1
Riau,6501,2.59,2.51,75,105.5
Jambi,3458.9,1.8,1.34,69,104.2
Sumatera Selatan,8160.9,1.46,3.15,89,103.3
Bengkulu,1904.8,1.69,0.74,96,104
Lampung,8205.1,1.21,3.17,237,105.2
Kepulauan Bangka Belitung,1401.8,2.2,0.54,85,108.2
Kepulauan Riau,2028.2,3.06,0.78,247,104.3
DKI Jakarta,10277.6,1.07,3.97,15478,100.8
Jawa Barat,47379.4,1.54,18.31,1339,102.8
Jawa Tengah,34019.1,0.79,13.15,1037,98.4
DI Yogyakarta,3720.9,1.18,1.44,1188,97.8
Jawa Timur,39075.3,0.66,15.1,817,97.5
Banten,12203.1,2.23,4.72,1263,104
Bali,4200.1,1.21,1.62,727,101.4
Nusa Tenggara Barat,4896.2,1.36,1.89,264,94.3
Nusa Tenggara Timur,5203.5,1.69,2.01,107,98.2
Kalimantan Barat,4861.7,1.63,1.88,33,103.8
Kalimantan Tengah,2550.2,2.33,0.99,17,109.4
Kalimantan Selatan,4055.5,1.81,1.57,105,102.8
Kalimantan Timur,3501.2,2.58,1.35,27,110.3
Kalimantan Utara,666.3,,0.26,9,113
Sulawesi Utara,2436.9,1.13,0.94,176,104.2
Sulawesi Tengah,2921.7,1.67,1.13,47,104.4
Sulawesi Selatan,8606.4,1.1,3.33,184,95.5
Sulawesi Tenggara,2551,2.16,0.99,67,101.1
Gorontalo,1150.8,1.62,0.44,102,100.4
Sulawesi Barat,1306.5,1.93,0.51,78,100.7
Maluku,1715.5,1.79,0.66,37,101.7
Maluku Utara,1185.9,2.16,0.46,37,104.2
Papua Barat,893.4,2.61,0.35,9,111.3
Papua,3207.4,1.95,1.24,10,111.4
Indonesia,258705,1.36,100,135,101
