Provinsi,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Aceh,5281.3,1.96,1.99,91,99.8
Sumatera Utara,14415.4,1.27,5.44,198,99.6
Sumatera Barat,5382.1,1.27,2.03,128,99.3
Riau,6814.9,2.54,2.57,78,105.3
Jambi,3570.3,1.75,1.35,71,104.1
Sumatera Selatan,8370.3,1.41,3.16,91,103.3
Bengkulu,1963.3,1.65,0.74,99,103.9
Lampung,8370.5,1.16,3.16,242,105
Kepulauan Bangka Belitung,1459.9,2.16,0.55,89,108.4
Kepulauan Riau,2136.5,2.95,0.81,260,104
DKI Jakarta,10467.6,1.03,3.95,15764,100.4
Jawa Barat,48683.7,1.5,18.37,1376,102.6
Jawa Tengah,34490.8,0.77,13.01,1052,98.3
DI Yogyakarta,3802.9,1.16,1.43,1214,97.9
Jawa Timur,39500.9,0.63,14.91,826,97.5
Banten,12689.7,2.17,4.79,1313,103.9
Bali,4292.2,1.18,1.62,743,101.4
Nusa Tenggara Barat,5013.7,1.32,1.89,270,94.3
Nusa Tenggara Timur,5371.5,1.67,2.03,110,98.1
Kalimantan Barat,5001.7,1.58,1.89,34,103.6
Kalimantan Tengah,2660.2,2.28,1,17,109.6
Kalimantan Selatan,4182.7,1.74,1.58,108,103
Kalimantan Timur,3648.8,2.28,1.38,28,110.2
Kalimantan Utara,716.4,3.87,0.27,9,113
Sulawesi Utara,2484.4,1.09,0.94,179,104.2
Sulawesi Tengah,3010.4,1.63,1.14,49,104.2
Sulawesi Selatan,8772,1.06,3.31,188,95.6
Sulawesi Tenggara,2653.7,2.12,1,70,101.2
Gorontalo,1185.5,1.59,0.45,105,100.4
Sulawesi Barat,1355.6,1.92,0.51,81,100.8
Maluku,1773.8,1.77,0.67,38,101.7
Maluku Utara,1232.6,2.11,0.47,39,104.1
Papua Barat,937.5,2.57,0.35,9,111.1
Papua,3322.5,1.9,1.25,10,110.9
Indonesia,265015.3,1.33,100,138,101
