Provinsi,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Aceh,5482.5,1.41,1.97,96,100.9
Sumatera Utara,15386.6,1.43,5.52,212,100.7
Sumatera Barat,5757.2,1.45,2.07,137,101.5
Riau,6642.9,1.4,2.38,74,104.6
Jambi,3679.2,1.33,1.32,75,103.6
Sumatera Selatan,8743.5,1.17,3.14,101,103.8
Bengkulu,2086,1.35,0.75,104,104.5
Lampung,9314,1.22,3.34,277,104.5
Kepulauan Bangka Belitung,1511.9,1.39,0.54,91,105.6
Kepulauan Riau,2152.6,1.53,0.77,260,103.6
DKI Jakarta,10672.1,0.38,3.83,16146,101.3
Jawa Barat,49860.3,1.18,17.89,1346,102.7
Jawa Tengah,37541,1.01,13.47,1093,101
DI Yogyakarta,3736.5,0.67,1.34,1178,98
Jawa Timur,41527.9,0.77,14.9,865,99.5
Banten,12307.7,1.22,4.42,1316,103.6
Bali,4404.3,0.73,1.58,788,100.7
Nusa Tenggara Barat,5560.3,1.62,2,283,100.5
Nusa Tenggara Timur,5569.1,1.64,2,120,100
Kalimantan Barat,5623.3,1.39,2.02,38,105.5
Kalimantan Tengah,2773.7,1.4,1,18,107.1
Kalimantan Selatan,4222.3,1.31,1.52,114,102.4
Kalimantan Timur,3909.7,1.37,1.4,31,107.7
Kalimantan Utara,730,1.44,0.26,10,111
Sulawesi Utara,2681.5,0.82,0.96,185,104.4
Sulawesi Tengah,3086.8,1.22,1.11,50,105.4
Sulawesi Selatan,9362.3,1.15,3.36,207,98.7
Sulawesi Tenggara,2749,1.69,0.99,76,102.7
Gorontalo,1213.2,1.27,0.44,101,101.7
Sulawesi Barat,1481.1,1.56,0.53,89,102.8
Maluku,1920.5,1.39,0.69,42,102.4
Maluku Utara,1337.1,1.52,0.48,41,105.1
Papua Barat,1187.3,1.68,0.43,12,110.1
Papua Barat Daya,,,,,
Papua,4482.7,1.49,1.61,14,112.9
Papua Selatan,,,,,
Papua Tengah,,,,,
Papua Pegunungan,,,,,
Indonesia,278696.2,1.13,100,147,102.1
,,,,,
Catatan,,,,,
"<sup>1</sup> Hasil Proyeksi Penduduk Indonesia 2020-2050 Hasil Sensus Penduduk 2020 (Pertengahan tahun/Juni)/<i>Indonesia Population Projection 2020-2050 Result of Population Census 2020 (mid year/June)</i><sup>2</sup> Laju pertumbuhan penduduk dihitung berdasarkan penduduk tahun 2020 (September) dibandingkan dengan penduduk tahun 2023(Juni)/<i>The growth rate refers to the change of the population in 2020 (September) to the population in 2023 (June)</i><sup>3</sup> Luas provinsi berdasarkan  Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tanggal 9 November 2022/<i>Province area Based on Ministerial Decree of Home Affairs Number 100.1.1-6117,9 November 2022</i>",,,,,
