Provinsi,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Aceh,5333.7,1.49,1.96,92,100.8
Sumatera Utara,14936.2,1.23,5.48,205,100.7
Sumatera Barat,5580.2,1.1,2.05,133,101.5
Riau,6493.6,2.08,2.38,75,104.9
Jambi,3585.1,1.39,1.31,72,104
Sumatera Selatan,8550.9,1.32,3.14,93,104
Bengkulu,2032.9,1.48,0.75,102,104.7
Lampung,9081.8,1.1,3.33,262,105
Kepulauan Bangka Belitung,1473.2,1.6,0.54,90,105.9
Kepulauan Riau,2118.2,3.48,0.78,258,104.2
DKI Jakarta,10609.7,0.6,3.89,15978,101.7
Jawa Barat,48782.4,1.41,17.89,1379,103.1
Jawa Tengah,36742.5,0.83,13.47,1120,101.1
DI Yogyakarta,3712.9,1.61,1.36,1185,98.1
Jawa Timur,40878.8,0.7,14.99,855,99.6
Banten,12061.5,1.76,4.42,1248,103.9
Bali,4362.7,1.4,1.6,755,101.1
Nusa Tenggara Barat,5390,1.76,1.98,290,100
Nusa Tenggara Timur,5387.7,1.56,1.98,111,100
Kalimantan Barat,5470.8,1.39,2.01,37,105.7
Kalimantan Tengah,2702.2,1.61,0.99,18,107.8
Kalimantan Selatan,4122.6,1.61,1.51,106,102.5
Kalimantan Timur,3808.2,1.5,1.4,30,108.4
Kalimantan Utara,713.6,2.25,0.26,9,111.6
Sulawesi Utara,2638.6,0.85,0.97,190,104.7
Sulawesi Tengah,3021.9,1.62,1.11,49,105.5
Sulawesi Selatan,9139.5,0.97,3.35,196,98.6
Sulawesi Tenggara,2659.2,1.75,0.98,70,102.6
Gorontalo,1181,1.06,0.43,105,101.8
Sulawesi Barat,1436.8,1.66,0.53,86,103
Maluku,1862.6,0.99,0.68,40,102.6
Maluku Utara,1299.2,1.69,0.48,41,105
Papua Barat,1156.8,2.69,0.42,11,111.2
Papua,4355.4,1.61,1.6,14,113.9
Indonesia,272682.5,1.22,100,142,102.3
,,,,,
Catatan,,,,,
<sup>(1)</sup>Hasil Proyeksi Penduduk Interim 2020–2023 (Pertengahan tahun/Juni)/<i>The result of Interim Population Projection 2020–2023 (mid year/June)</i><sup>(2) </sup>Laju pertumbuhan penduduk dihitung berdasarkan penduduk tahun 2020 (September) dibandingkan dengan penduduk tahun 2021 (Juni)/ <i>The growth rate refers to the change of the population in 2020 (September) to the population in 2021 (June),,,,,
</i><sup>(3) </sup>Luas Provinsi Berdasarkan Peraturan Menteri,,,,,
"Dalam Negeri Nomor 72 Tahun 2019 tanggal 25 Oktober 2019/ <i>Area Province Based on Minister of Home Affairs Regulation Number 72/2019, October 25, 2019</i>",,,,,
<sup>,,,,,
</sup>,,,,,
