Golongan Umur,,,,,,
,Pengangguran Menurut Golongan Umur (Orang),,,,,
,Pernah Bekerja,,Tidak Pernah Bekerja,,Jumlah Pengangguran,
,2022,,2022,,2022,
,Februari,Agustus,Februari,Agustus,Februari,Agustus
15-19,186118,196516,947621,1659776,1133739,1856292
20-24,892848,828209,1611664,1711912,2504512,2540121
25-29,817182,664221,526326,502041,1343508,1166262
30-34,556660,438252,198062,170160,754722,608412
35-39,480197,317880,169724,122060,649921,439940
40-44,472952,298248,121297,96920,594249,395168
45-49,456096,251527,148804,104317,604900,355844
50-54,382136,219600,113215,104582,495351,324182
55-59,110611,190108,11529,64061,122140,254169
60+,170487,325516,28624,160025,199111,485541
Total,4525287,3730077,3876866,4695854,8402153,8425931
