38 Provinsi,,,
,Populasi Kambing menurut Provinsi (Ekor),,
,2003,2004,2005
ACEH,637188,647089,565776
SUMATERA UTARA,712566,717196,640500
SUMATERA BARAT,256230,195176,210532
RIAU,231757,203999,256324
JAMBI,126863,132369,124955
SUMATERA SELATAN,436607,435504,462505
BENGKULU,166589,108619,106357
LAMPUNG,810456,824235,927736
KEP. BANGKA BELITUNG,11377,2450,4728
KEP. RIAU,-,-,21558
DKI JAKARTA,5351,6971,5886
JAWA BARAT,930066,1144102,1138695
JAWA TENGAH,2984845,2993138,3224067
DI YOGYAKARTA,241007,256417,264681
JAWA TIMUR,2334554,2359375,2384973
BANTEN,522380,566716,572761
BALI,61958,44418,68788
NUSA TENGGARA BARAT,282500,300280,338354
NUSA TENGGARA TIMUR,435151,462101,479883
KALIMANTAN BARAT,96360,99010,106814
KALIMANTAN TENGAH,23160,37398,39846
KALIMANTAN SELATAN,84442,91911,99271
KALIMANTAN TIMUR,74335,72071,59736
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,45910,44234,41681
SULAWESI TENGAH,161920,163090,178434
SULAWESI SELATAN,555927,403505,407246
SULAWESI TENGGARA,73927,82160,86310
GORONTALO,137879,92944,86533
SULAWESI BARAT,-,-,209694
MALUKU,156406,168719,146193
MALUKU UTARA,82402,70695,99982
PAPUA BARAT,-,-,12923
PAPUA BARAT DAYA,-,-,-
PAPUA,41969,55069,35555
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,12722082,12780961,13409277
