38 Provinsi,
,Populasi Kambing menurut Provinsi (Ekor)
,2024
ACEH,201419
SUMATERA UTARA,382226
SUMATERA BARAT,125927
RIAU,155248
JAMBI,114564
SUMATERA SELATAN,422696
BENGKULU,93305
LAMPUNG,1966835
KEP. BANGKA BELITUNG,4603
KEP. RIAU,21904
DKI JAKARTA,4095
JAWA BARAT,1297361
JAWA TENGAH,3510883
DI YOGYAKARTA,426973
JAWA TIMUR,5033351
BANTEN,194638
BALI,50985
NUSA TENGGARA BARAT,279234
NUSA TENGGARA TIMUR,381643
KALIMANTAN BARAT,91742
KALIMANTAN TENGAH,27912
KALIMANTAN SELATAN,40448
KALIMANTAN TIMUR,44402
KALIMANTAN UTARA,4467
SULAWESI UTARA,10132
SULAWESI TENGAH,86308
SULAWESI SELATAN,312434
SULAWESI TENGGARA,65529
GORONTALO,17780
SULAWESI BARAT,126489
MALUKU,31181
MALUKU UTARA,145601
PAPUA BARAT,5255
PAPUA BARAT DAYA,4163
PAPUA,13081
PAPUA SELATAN,6648
PAPUA TENGAH,5182
PAPUA PEGUNUNGAN,3411
INDONESIA,15710055
