38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2015,,
,Februari,Agustus,Tahunan
ACEH,7.73,9.93,-
SUMATERA UTARA,6.39,6.71,-
SUMATERA BARAT,5.99,6.89,-
RIAU,6.72,7.83,-
JAMBI,2.73,4.34,-
SUMATERA SELATAN,5.03,6.07,-
BENGKULU,3.21,4.91,-
LAMPUNG,3.44,5.14,-
KEP. BANGKA BELITUNG,3.35,6.29,-
KEP. RIAU,9.05,6.2,-
DKI JAKARTA,8.36,7.23,-
JAWA BARAT,8.4,8.72,-
JAWA TENGAH,5.31,4.99,-
DI YOGYAKARTA,4.07,4.07,-
JAWA TIMUR,4.31,4.47,-
BANTEN,8.58,9.55,-
BALI,1.37,1.99,-
NUSA TENGGARA BARAT,4.98,5.69,-
NUSA TENGGARA TIMUR,3.12,3.83,-
KALIMANTAN BARAT,4.78,5.15,-
KALIMANTAN TENGAH,3.14,4.54,-
KALIMANTAN SELATAN,4.83,4.92,-
KALIMANTAN TIMUR,7.17,7.5,-
KALIMANTAN UTARA,5.79,5.68,-
SULAWESI UTARA,8.69,9.03,-
SULAWESI TENGAH,2.99,4.1,-
SULAWESI SELATAN,5.81,5.95,-
SULAWESI TENGGARA,3.62,5.55,-
GORONTALO,3.06,4.65,-
SULAWESI BARAT,1.81,3.35,-
MALUKU,6.72,9.93,-
MALUKU UTARA,5.56,6.05,-
PAPUA BARAT,4.61,8.08,-
PAPUA BARAT DAYA,-,-,-
PAPUA,3.72,3.99,-
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,5.81,6.18,-
