38 Provinsi,,,
,Upah Minimum Regional/Propinsi (Rupiah),,
,2000,2001,2002
ACEH,265000,300000,330000
SUMATERA UTARA,254000,340500,464000
SUMATERA BARAT,200000,250000,385000
RIAU,250700,329000,394000
JAMBI,173000,245000,304000
SUMATERA SELATAN,190000,255000,331500
BENGKULU,173000,240000,295000
LAMPUNG,192000,240000,310000
KEP. BANGKA BELITUNG,190000,255000,345000
KEP. RIAU,300000,421500,-
DKI JAKARTA,286000,426300,591300
JAWA BARAT,230000,245000,280800
JAWA TENGAH,185000,245000,314500
DI YOGYAKARTA,194500,237500,321800
JAWA TIMUR,214500,220000,245000
BANTEN,230000,245000,360000
BALI,214000,309800,341000
NUSA TENGGARA BARAT,180000,240000,320000
NUSA TENGGARA TIMUR,184000,275000,330000
KALIMANTAN BARAT,228000,304500,380000
KALIMANTAN TENGAH,285000,362000,362000
KALIMANTAN SELATAN,200000,295000,377500
KALIMANTAN TIMUR,233000,300000,500000
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,186000,372000,438000
SULAWESI TENGAH,203000,245000,350000
SULAWESI SELATAN,200000,300000,375000
SULAWESI TENGGARA,210000,275000,325000
GORONTALO,186000,372000,375000
SULAWESI BARAT,-,-,-
MALUKU,180000,230000,285000
MALUKU UTARA,180000,230000,322000
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,315000,400000,530000
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,216500,290500,362700
