Provinsi (PDRB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[SERI 2010] 1. PDRB Atas Dasar Harga Berlaku Menurut Pengeluaran (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran Konsumsi Rumah Tangga,,,,,Pengeluaran Konsumsi LNPRT,,,,,Pengeluaran Konsumsi Pemerintah,,,,,Pembentukan Modal Tetap Bruto,,,,,Perubahan Inventori,,,,,Net Ekspor,,,,,PDRB,,,,
,2013,,,,,2013,,,,,2013,,,,,2013,,,,,2013,,,,,2013,,,,,2013,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
ACEH,16525.92,16885.61,17609.26,17796.43,68817.21,448.33,460.62,499.96,544.05,1952.96,4942.71,6374.49,7585.55,10753.18,29655.93,9006.35,9102.87,10006.98,10849.6,38965.8,83.32,46.12,-44.7,-121.74,-37.01,-1716.39,-3017.61,-4617.15,-8672.63,-18023.77,29290.24,29852.11,31039.89,31148.89,121331.13
SUMATERA UTARA,59564.7,61572.24,64499.29,65779.41,251415.64,1112.64,1155.44,1191.2,1216.55,4675.82,7307.27,8869.27,9774.63,11572.04,37523.22,35817.57,36820.04,38370.2,39083.67,150091.47,3241.67,1499.67,1663.74,1323.28,7728.37,4754.42,3479.48,4849.63,4945.96,18029.48,111798.27,113396.13,120348.7,123920.91,469464.02
SUMATERA BARAT,19041.54,19540.05,20559.53,21124.42,80265.54,361.95,369.03,402.42,446.34,1579.74,3369.41,4215.46,4679.58,7419.23,19683.68,9888.11,10617.87,11221.64,11981.31,43708.93,392.83,181.92,112.73,79.83,767.32,1032.25,1437.74,1118.09,-2693.46,894.63,34086.09,36362.07,38093.99,38357.68,146899.83
RIAU,40609.1,41971.48,43933.26,44959.55,171473.39,518.76,537.92,593.37,608.15,2258.19,4085.23,4701.87,5401.74,7038.97,21227.8,35148.22,36453.01,37826.25,38506.47,147933.95,17627.09,11269.2,4373.65,2131.47,35401.42,41745.48,50967.16,64978.58,71512.47,229203.7,139733.88,145900.63,157106.84,164757.09,607498.45
JAMBI,13947.05,14350.63,15519.57,15781.53,59598.78,150.04,152.75,160.19,171.72,634.7,1664.45,2697.12,3157.87,4480.78,12000.23,5307.82,6612.11,9222.56,11787.49,32929.97,783.85,-280.07,778.49,-637.14,645.13,8776.51,8818.03,4208.32,2364.37,24167.23,30629.72,32350.58,33047,33948.75,129976.04
SUMATERA SELATAN,44717.44,46112.24,48429.65,49030.12,188289.44,880.87,921.2,969.39,988.93,3760.39,4656.3,5236,5628.09,7022.23,22542.61,26224.72,28223.78,29505.5,31609.4,115563.41,718.88,397.26,710.09,-586.2,1240.03,-10116.65,-12071.7,-12888.28,-15970.79,-51047.42,67081.56,68818.78,72354.44,72093.68,280348.46
BENGKULU,6214.87,6335.56,6646.07,6828.61,26025.11,240.5,247.36,257,273.43,1018.28,1690.42,1811.5,1953.18,2160.1,7615.2,3788.99,4018.65,4325.31,4650.38,16783.33,244.13,219.22,249.09,266.7,979.13,-2498.82,-2672.5,-3101.73,-3582.51,-11855.56,9680.08,9959.79,10328.91,10596.7,40565.49
LAMPUNG,30265.12,30483.03,32251.27,32242.77,125242.18,579.44,624.41,664.8,719.71,2588.36,3116.74,4463.2,4522.27,6324.27,18426.48,15101.35,15916.11,16606.62,17191.31,64815.39,964.95,1307.32,445.65,-705.06,2012.86,-1741.71,-1694.55,38.8,-5285.17,-8682.64,48285.88,51099.52,54529.4,50487.84,204402.64
KEP. BANGKA BELITUNG,6100.27,6272.93,6645.07,6815.6,25833.87,64.16,67.5,71.68,75.57,278.91,1145.52,1237.32,1374.24,1492.75,5249.82,2612.08,2696.79,2886.69,2977.01,11172.57,246.37,279.19,389.41,243.02,1157.99,1876.22,1876.94,1448.71,1493.33,6695.19,12044.62,12430.66,12815.8,13097.29,50388.36
KEP. RIAU,13436.39,13749,14594.57,14992.76,56772.72,82.25,84.98,89.77,96.41,353.41,903.86,1910.21,2536.02,4430.38,9780.48,15776.59,16419.6,16843.25,17637.59,66677.02,1679.44,1536.55,637.65,479.19,4332.83,6919.71,6103.2,6746.98,5575.22,25345.11,38798.24,39803.53,41448.25,43211.55,163261.57
