Province,Urban_Semester1,Urban_Semester2,Urban_Annual,Rural_Semester1,Rural_Semester2,Rural_Annual,UrbanRural_Semester1,UrbanRural_Semester2,UrbanRural_Annual,Year
ACEH,,,0.332,,,0.239,,,0.288,2005
SUMATERA UTARA,,,0.298,,,0.269,,,0.304,2005
SUMATERA BARAT,,,0.384,,,0.256,,,0.387,2005
RIAU,,,0.314,,,0.213,,,0.293,2005
JAMBI,,,0.243,,,0.332,,,0.304,2005
SUMATERA SELATAN,,,0.283,,,0.229,,,0.281,2005
BENGKULU,,,0.236,,,0.301,,,0.286,2005
LAMPUNG,,,0.277,,,0.315,,,0.31,2005
KEP. BANGKA BELITUNG,,,0.244,,,0.221,,,0.236,2005
KEP. RIAU,,,0.397,,,0.208,,,0.399,2005
DKI JAKARTA,,,0.337,,,,,,0.337,2005
JAWA BARAT,,,0.347,,,0.23,,,0.329,2005
JAWA TENGAH,,,0.346,,,0.259,,,0.323,2005
DI YOGYAKARTA,,,0.369,,,0.268,,,0.407,2005
JAWA TIMUR,,,0.298,,,0.27,,,0.318,2005
BANTEN,,,0.261,,,0.275,,,0.324,2005
BALI,,,0.407,,,0.246,,,0.36,2005
NUSA TENGGARA BARAT,,,0.348,,,0.28,,,0.331,2005
NUSA TENGGARA TIMUR,,,0.297,,,0.263,,,0.301,2005
KALIMANTAN BARAT,,,0.248,,,0.287,,,0.292,2005
KALIMANTAN TENGAH,,,0.38,,,0.257,,,0.322,2005
KALIMANTAN SELATAN,,,0.25,,,0.286,,,0.29,2005
KALIMANTAN TIMUR,,,0.287,,,0.234,,,0.326,2005
KALIMANTAN UTARA,,,,,,,,,,2005
SULAWESI UTARA,,,0.375,,,0.282,,,0.401,2005
SULAWESI TENGAH,,,0.237,,,0.259,,,0.282,2005
SULAWESI SELATAN,,,0.353,,,0.235,,,0.361,2005
SULAWESI TENGGARA,,,0.307,,,0.29,,,0.314,2005
GORONTALO,,,0.209,,,0.246,,,0.248,2005
SULAWESI BARAT,,,,,,,,,,2005
MALUKU,,,0.315,,,0.174,,,0.266,2005
MALUKU UTARA,,,0.343,,,0.217,,,0.276,2005
PAPUA BARAT,,,,,,,,,,2005
PAPUA BARAT DAYA,,,,,,,,,,2005
PAPUA,,,0.267,,,0.546,,,0.506,2005
PAPUA SELATAN,,,,,,,,,,2005
PAPUA TENGAH,,,,,,,,,,2005
PAPUA PEGUNUNGAN,,,,,,,,,,2005
INDONESIA,,,0.351,,,0.28,,,0.355,2005
ACEH,,,0.289,,,0.257,,,0.285,2007
SUMATERA UTARA,,,0.329,,,0.269,,,0.322,2007
SUMATERA BARAT,,,0.309,,,0.279,,,0.32,2007
RIAU,,,0.335,,,0.301,,,0.339,2007
JAMBI,,,0.333,,,0.28,,,0.321,2007
SUMATERA SELATAN,,,0.337,,,0.299,,,0.329,2007
BENGKULU,,,0.367,,,0.288,,,0.35,2007
LAMPUNG,,,0.436,,,0.303,,,0.402,2007
KEP. BANGKA BELITUNG,,,0.256,,,0.297,,,0.278,2007
KEP. RIAU,,,0.321,,,0.256,,,0.32,2007
DKI JAKARTA,,,0.367,,,,,,0.367,2007
JAWA BARAT,,,0.355,,,0.279,,,0.357,2007
JAWA TENGAH,,,0.349,,,0.285,,,0.338,2007
DI YOGYAKARTA,,,0.367,,,0.316,,,0.378,2007
JAWA TIMUR,,,0.348,,,0.289,,,0.348,2007
BANTEN,,,0.356,,,0.246,,,0.379,2007
BALI,,,0.345,,,0.295,,,0.348,2007
NUSA TENGGARA BARAT,,,0.355,,,0.296,,,0.339,2007
NUSA TENGGARA TIMUR,,,0.363,,,0.283,,,0.363,2007
KALIMANTAN BARAT,,,0.339,,,0.287,,,0.321,2007
KALIMANTAN TENGAH,,,0.322,,,0.274,,,0.312,2007
KALIMANTAN SELATAN,,,0.356,,,0.289,,,0.355,2007
KALIMANTAN TIMUR,,,0.346,,,0.295,,,0.351,2007
KALIMANTAN UTARA,,,,,,,,,,2007
SULAWESI UTARA,,,0.352,,,0.294,,,0.338,2007
SULAWESI TENGAH,,,0.292,,,0.317,,,0.33,2007
SULAWESI SELATAN,,,0.358,,,0.31,,,0.38,2007
SULAWESI TENGGARA,,,0.342,,,0.323,,,0.363,2007
GORONTALO,,,0.437,,,0.308,,,0.398,2007
SULAWESI BARAT,,,0.289,,,0.34,,,0.325,2007
MALUKU,,,0.325,,,0.273,,,0.34,2007
MALUKU UTARA,,,0.317,,,0.311,,,0.346,2007
PAPUA BARAT,,,0.287,,,0.312,,,0.346,2007
PAPUA BARAT DAYA,,,,,,,,,,2007
PAPUA,,,0.317,,,0.36,,,0.422,2007
PAPUA SELATAN,,,,,,,,,,2007
PAPUA TENGAH,,,,,,,,,,2007
PAPUA PEGUNUNGAN,,,,,,,,,,2007
INDONESIA,,,0.374,,,0.302,,,0.376,2007
ACEH,,,0.301,,,0.253,,,0.29,2008
SUMATERA UTARA,,,0.335,,,0.272,,,0.323,2008
SUMATERA BARAT,,,0.304,,,0.276,,,0.308,2008
RIAU,,,0.325,,,0.295,,,0.328,2008
JAMBI,,,0.297,,,0.283,,,0.295,2008
SUMATERA SELATAN,,,0.316,,,0.291,,,0.313,2008
BENGKULU,,,0.343,,,0.335,,,0.348,2008
LAMPUNG,,,0.415,,,0.292,,,0.362,2008
KEP. BANGKA BELITUNG,,,0.279,,,0.268,,,0.275,2008
KEP. RIAU,,,0.309,,,0.259,,,0.316,2008
DKI JAKARTA,,,0.362,,,,,,0.362,2008
JAWA BARAT,,,0.354,,,0.289,,,0.36,2008
JAWA TENGAH,,,0.332,,,0.274,,,0.325,2008
DI YOGYAKARTA,,,0.368,,,0.3,,,0.376,2008
JAWA TIMUR,,,0.345,,,0.286,,,0.346,2008
BANTEN,,,0.344,,,0.255,,,0.354,2008
BALI,,,0.313,,,0.281,,,0.318,2008
NUSA TENGGARA BARAT,,,0.362,,,0.303,,,0.342,2008
NUSA TENGGARA TIMUR,,,0.331,,,0.29,,,0.349,2008
KALIMANTAN BARAT,,,0.344,,,0.298,,,0.326,2008
KALIMANTAN TENGAH,,,0.317,,,0.275,,,0.307,2008
KALIMANTAN SELATAN,,,0.365,,,0.273,,,0.345,2008
KALIMANTAN TIMUR,,,0.359,,,0.278,,,0.362,2008
KALIMANTAN UTARA,,,,,,,,,,2008
SULAWESI UTARA,,,0.295,,,0.285,,,0.295,2008
SULAWESI TENGAH,,,0.314,,,0.321,,,0.34,2008
SULAWESI SELATAN,,,0.354,,,0.302,,,0.37,2008
