Provinsi,2006,2007,2008
ACEH,820000.0,850000.0,1000000.0
SUMATERA UTARA,737794.0,761000.0,822205.0
SUMATERA BARAT,650000.0,725000.0,800000.0
RIAU,637000.0,710000.0,800000.0
JAMBI,563000.0,658000.0,724000.0
SUMATERA SELATAN,604000.0,662000.0,743000.0
BENGKULU,516000.0,644838.0,690000.0
LAMPUNG,505000.0,555000.0,617000.0
KEP. BANGKA BELITUNG,640000.0,720000.0,813000.0
KEP. RIAU,760000.0,805000.0,833000.0
DKI JAKARTA,819100.0,900560.0,972604.0
JAWA BARAT,447654.0,516840.0,568193.0
JAWA TENGAH,450000.0,500000.0,547000.0
DI YOGYAKARTA,460000.0,500000.0,586000.0
JAWA TIMUR,390000.0,448500.0,500000.0
BANTEN,661613.0,746500.0,837000.0
BALI,510000.0,622000.0,682650.0
NUSA TENGGARA BARAT,550000.0,645000.0,730000.0
NUSA TENGGARA TIMUR,550000.0,600000.0,650000.0
KALIMANTAN BARAT,512000.0,560000.0,645000.0
KALIMANTAN TENGAH,634260.0,665973.0,765868.0
KALIMANTAN SELATAN,629000.0,745000.0,825000.0
KALIMANTAN TIMUR,701640.0,766500.0,889654.0
KALIMANTAN UTARA,682396.2843137255,682396.2843137255,682396.2843137255
SULAWESI UTARA,713500.0,750000.0,845000.0
SULAWESI TENGAH,575000.0,615000.0,670000.0
SULAWESI SELATAN,612000.0,673200.0,740520.0
SULAWESI TENGGARA,573400.0,640000.0,700000.0
GORONTALO,527000.0,560000.0,600000.0
SULAWESI BARAT,612000.0,691464.0,760500.0
MALUKU,575000.0,635000.0,700000.0
MALUKU UTARA,528000.0,660000.0,700000.0
PAPUA BARAT,822500.0,987000.0,1105500.0
PAPUA BARAT DAYA,682396.2843137255,682396.2843137255,682396.2843137255
PAPUA,822500.0,987000.0,1105500.0
PAPUA SELATAN,682396.2843137255,682396.2843137255,682396.2843137255
PAPUA TENGAH,682396.2843137255,682396.2843137255,682396.2843137255
PAPUA PEGUNUNGAN,682396.2843137255,682396.2843137255,682396.2843137255
INDONESIA,602702.0,672480.0,745709.0
